 (-0.990012-0.004596j)  (0.000769+0.001055j)  (0.002682+0.001370j)  (0.004051-0.003282j)  (0.001975+0.001787j)  (0.000573+0.002695j)  (0.004847+0.003302j)  (0.004488+0.004454j)  (-0.000369+0.001405j)  (-0.000440+0.001012j)  (-0.032665+0.000089j)  (-0.004333+0.003257j)  (-0.002295-0.001993j)  (0.003599-0.002345j)  (0.001826-0.003025j)  (-0.027741+0.133490j)
 (-0.000644+0.001425j)  (-0.986238-0.003354j)  (0.001082-0.003397j)  (0.001330-0.000392j)  (0.000305+0.000553j)  (0.002983+0.000024j)  (-0.000532+0.001145j)  (-0.001482-0.002106j)  (-0.000454-0.001010j)  (0.000923-0.000260j)  (0.000944-0.003262j)  (-0.001020+0.003803j)  (0.059661-0.153894j)  (-0.001099+0.002553j)  (-0.001898-0.001691j)  (0.001279+0.000207j)
 (-0.001971+0.002023j)  (-0.001124-0.002668j)  (-0.996376-0.004829j)  (0.004248-0.001804j)  (0.000356-0.002273j)  (-0.017475+0.082395j)  (-0.000801+0.000562j)  (-0.003587+0.003196j)  (-0.000479+0.000651j)  (-0.002517+0.000079j)  (0.000685-0.001013j)  (0.000437-0.000223j)  (0.002903+0.001179j)  (-0.001199-0.000820j)  (0.000853-0.000867j)  (-0.004370+0.003150j)
 (-0.003949-0.003902j)  (-0.000941-0.000422j)  (-0.004693-0.001076j)  (-0.979223-0.003960j)  (0.031905+0.086444j)  (0.001637+0.000318j)  (0.002014+0.000658j)  (-0.045089-0.165730j)  (-0.051121+0.010999j)  (0.001060-0.009845j)  (-0.003600-0.004036j)  (-0.000067+0.008497j)  (-0.000833+0.000834j)  (0.003220+0.008479j)  (0.002931-0.001313j)  (0.001932+0.004753j)
 (-0.002087+0.002225j)  (-0.000411+0.000250j)  (-0.000287-0.001803j)  (-0.035816+0.082037j)  (-0.994016-0.031997j)  (-0.002712+0.000977j)  (-0.000394-0.001828j)  (-0.010987+0.015348j)  (-0.025832+0.042261j)  (-0.002688-0.002592j)  (0.002854+0.000896j)  (0.003542+0.001110j)  (-0.001562-0.000960j)  (-0.000908-0.002763j)  (-0.000221+0.001348j)  (-0.002057+0.002593j)
 (-0.000456+0.003072j)  (-0.003042-0.000138j)  (0.016492+0.082605j)  (-0.000637-0.000374j)  (0.002551+0.001327j)  (-0.996370-0.006987j)  (0.000548+0.000866j)  (-0.001685-0.004481j)  (-0.002797+0.000538j)  (-0.002533-0.000789j)  (-0.003144-0.001230j)  (-0.000143-0.002057j)  (-0.000919-0.001773j)  (0.001597+0.002472j)  (-0.002210+0.001101j)  (-0.000663-0.000759j)
 (-0.004331+0.003505j)  (0.000270+0.001228j)  (0.000932+0.000597j)  (-0.001910+0.000273j)  (0.001027-0.000794j)  (-0.000446+0.000815j)  (-0.999723-0.007157j)  (-0.002314+0.005556j)  (-0.018912-0.003227j)  (0.000379-0.004169j)  (-0.001275-0.003071j)  (-0.000273+0.000781j)  (-0.000104+0.001751j)  (-0.001917+0.000352j)  (-0.001733+0.001115j)  (-0.001394+0.003893j)
 (-0.002781+0.003120j)  (0.001168-0.002792j)  (0.003683+0.002275j)  (0.049147-0.173053j)  (0.002341+0.010944j)  (0.002181-0.004976j)  (0.001027+0.001702j)  (-0.961026-0.011034j)  (0.019844+0.204877j)  (-0.034296-0.003171j)  (-0.005943+0.000377j)  (0.003216+0.000615j)  (-0.002967+0.000279j)  (-0.009315+0.003278j)  (-0.000921+0.003236j)  (0.002969+0.003573j)
 (0.001036+0.002312j)  (0.000262-0.001169j)  (0.001183+0.000105j)  (0.020369-0.003095j)  (0.026486+0.038981j)  (0.001844+0.000308j)  (0.019978-0.003039j)  (-0.022388+0.213157j)  (-0.970399-0.006364j)  (0.030458-0.083612j)  (0.001624+0.000671j)  (0.004508-0.004715j)  (0.001580-0.000643j)  (-0.022385-0.028197j)  (-0.001864+0.003433j)  (0.000198-0.001843j)
 (0.000344+0.000635j)  (-0.001202-0.000543j)  (0.002304-0.000133j)  (-0.001379-0.002188j)  (-0.000650+0.000942j)  (0.002554-0.000645j)  (0.000461-0.002655j)  (0.016154+0.001112j)  (-0.031246-0.089516j)  (-0.995306+0.006363j)  (-0.000881+0.002035j)  (-0.001407+0.000791j)  (-0.002702+0.001247j)  (-0.003825+0.000294j)  (0.002953-0.000576j)  (0.002151-0.000285j)
 (0.010776-0.003590j)  (-0.000685-0.003199j)  (-0.001557-0.000849j)  (0.002724-0.003110j)  (-0.003822+0.000746j)  (0.003073-0.000889j)  (0.000573-0.003102j)  (0.006209+0.000412j)  (-0.001555-0.000531j)  (0.001259+0.001578j)  (-0.986814-0.007102j)  (0.001659+0.000410j)  (0.002048-0.000357j)  (-0.000503+0.003252j)  (0.000205+0.000268j)  (0.060112-0.149246j)
 (0.004242+0.002610j)  (0.000739+0.000837j)  (-0.000683+0.000054j)  (-0.001062+0.006749j)  (-0.002450+0.001198j)  (-0.000035-0.002436j)  (0.000081+0.000980j)  (-0.005345+0.002132j)  (-0.001580+0.001683j)  (0.000961+0.001174j)  (-0.001356+0.000619j)  (-0.988060-0.011652j)  (-0.015962-0.007467j)  (0.064486-0.137707j)  (0.002359+0.001555j)  (0.003849-0.003989j)
 (0.001506-0.002009j)  (-0.058355-0.154438j)  (-0.002534+0.001082j)  (0.000745+0.001319j)  (0.001601-0.000937j)  (0.001179-0.000997j)  (-0.000132+0.001753j)  (0.002879+0.000315j)  (-0.001340-0.001353j)  (0.003029+0.001295j)  (-0.000824-0.000574j)  (0.015019-0.007600j)  (-0.986062-0.005198j)  (-0.004319+0.004384j)  (0.002130+0.003072j)  (0.000806-0.003584j)
 (-0.004197-0.001453j)  (0.000511+0.003735j)  (0.001330-0.000716j)  (-0.006045+0.010518j)  (-0.000111-0.003224j)  (-0.001487+0.002234j)  (0.001438+0.001112j)  (0.001162-0.003001j)  (0.022834-0.028487j)  (0.005615+0.003436j)  (0.000484+0.002714j)  (-0.060300-0.139502j)  (0.003823+0.001816j)  (-0.987384-0.018639j)  (0.000835+0.001590j)  (-0.001433-0.002766j)
