 (-0.999488+0.023876j)  (-0.000770+0.000773j)  (-0.003610-0.000411j)  (0.001373+0.000560j)  (0.001954-0.004580j)  (-0.003310+0.003326j)  (-0.000242+0.006035j)  (0.005428+0.007357j)  (-0.000083+0.000244j)  (0.005905+0.000089j)  (0.000424+0.004246j)  (-0.005522+0.004219j)  (0.005646+0.001948j)  (0.009469-0.001452j)  (0.002260-0.004808j)  (0.000886-0.003553j)
 (0.000891+0.002016j)  (-0.975843+0.019400j)  (-0.003728+0.006133j)  (0.003799+0.001002j)  (-0.004522+0.000423j)  (0.002301-0.000685j)  (-0.008605-0.004787j)  (-0.010307-0.000690j)  (-0.002359-0.003478j)  (0.001210-0.000781j)  (-0.003240+0.003560j)  (0.004747-0.000658j)  (-0.025337+0.212479j)  (0.006419+0.004951j)  (-0.028560+0.016875j)  (0.005236+0.001731j)
 (0.003465-0.000670j)  (0.002116+0.005644j)  (-0.999417+0.027007j)  (-0.000532-0.000520j)  (0.004690-0.002267j)  (0.005926-0.000899j)  (-0.001720+0.002047j)  (-0.002926-0.005267j)  (0.001100-0.002053j)  (-0.006374-0.000090j)  (-0.000214+0.003459j)  (0.000022-0.001020j)  (0.003704-0.007545j)  (-0.006618-0.002894j)  (0.004776-0.004428j)  (-0.004170+0.006160j)
 (-0.001327+0.000523j)  (-0.002407+0.001098j)  (0.000703-0.000642j)  (-0.998849+0.023538j)  (-0.000036-0.028442j)  (-0.006924+0.004718j)  (0.000174-0.001730j)  (-0.011505-0.000559j)  (0.002944-0.000901j)  (-0.005127+0.001061j)  (-0.000148+0.000235j)  (0.000092+0.002294j)  (0.000714+0.008096j)  (-0.015698-0.016907j)  (0.002889-0.007569j)  (0.003632-0.001658j)
 (-0.002103-0.004692j)  (0.004232-0.000469j)  (-0.004628-0.002078j)  (-0.001299-0.028400j)  (-0.998609+0.021826j)  (-0.001693-0.000579j)  (0.006582+0.004568j)  (-0.002531-0.004936j)  (-0.003577-0.002834j)  (-0.002256-0.002962j)  (0.020984+0.027299j)  (0.004111-0.000102j)  (0.002127-0.001397j)  (-0.000356+0.001409j)  (0.000442+0.002725j)  (-0.007880-0.003530j)
 (0.003269+0.003237j)  (-0.001391+0.000104j)  (-0.006115-0.000556j)  (0.007142+0.004436j)  (0.001074-0.000446j)  (-0.999227+0.016943j)  (0.006053-0.027457j)  (0.000982+0.002867j)  (-0.002804-0.000278j)  (-0.006957-0.000130j)  (-0.011170-0.005480j)  (-0.001776-0.004374j)  (-0.002049+0.002432j)  (0.002145-0.000446j)  (-0.007498+0.001642j)  (0.000754-0.004261j)
 (0.000347+0.006170j)  (0.009132-0.003825j)  (0.001677+0.001737j)  (-0.000485-0.001778j)  (-0.006640+0.005149j)  (-0.006975-0.027295j)  (-0.999061+0.021180j)  (0.001591+0.006881j)  (0.010104+0.000551j)  (-0.000472+0.005421j)  (-0.011189-0.001116j)  (0.002563+0.003491j)  (-0.007213+0.000571j)  (-0.002379-0.000302j)  (-0.003617+0.004021j)  (-0.001760+0.001158j)
 (-0.005098+0.007630j)  (0.011199-0.000706j)  (0.002802-0.005120j)  (0.012070-0.000898j)  (0.001172-0.003517j)  (-0.000806+0.002754j)  (0.000182+0.006960j)  (-0.994103+0.024392j)  (0.095483+0.009173j)  (-0.003495+0.001394j)  (-0.034537-0.001474j)  (-0.000928-0.003828j)  (-0.000756+0.003555j)  (-0.005065-0.011301j)  (-0.005040+0.002084j)  (0.004394+0.007863j)
 (-0.000312+0.000987j)  (0.002472-0.004592j)  (-0.000927-0.002543j)  (-0.001869-0.001023j)  (0.003824-0.003475j)  (0.002633-0.000371j)  (-0.010087+0.001701j)  (-0.095039+0.013500j)  (-0.994919+0.021422j)  (-0.000200+0.004255j)  (0.002426+0.004213j)  (0.006901-0.005168j)  (0.004273-0.004462j)  (0.000943-0.002629j)  (-0.009542-0.000498j)  (-0.004887-0.002590j)
 (-0.005800+0.000330j)  (-0.001807-0.002739j)  (0.006414-0.000250j)  (0.005038+0.000915j)  (0.002174-0.002725j)  (0.006798-0.000475j)  (0.000627+0.005533j)  (0.003876+0.001499j)  (0.000089+0.003996j)  (-0.999644+0.017422j)  (-0.003931+0.004868j)  (-0.001490-0.002344j)  (0.008017-0.001287j)  (0.003037+0.000481j)  (0.001678+0.005657j)  (-0.003111+0.002460j)
 (-0.000277+0.004099j)  (0.003107+0.002821j)  (-0.000125+0.003135j)  (-0.000642-0.000088j)  (-0.020564+0.028352j)  (0.011108-0.005328j)  (0.011295-0.001539j)  (0.034370-0.003329j)  (-0.006222+0.004366j)  (0.003913+0.004311j)  (-0.994252+0.017965j)  (-0.004539-0.007261j)  (0.002182-0.001951j)  (-0.005549-0.011103j)  (-0.001798+0.001349j)  (0.089710+0.003676j)
