 (-0.981549-0.004546j)  (-0.000887-0.002663j)  (0.001381+0.002772j)  (0.003513-0.002381j)  (-0.001049+0.003155j)  (0.033495+0.004057j)  (0.002747+0.017168j)  (-0.032005+0.175590j)  (-0.000639-0.003485j)  (-0.000326-0.000818j)  (-0.001625+0.000704j)  (0.007672-0.006401j)  (-0.000433-0.000374j)  (0.000398-0.000913j)  (0.001112-0.004432j)  (0.004626-0.013131j)  (0.046150+0.012610j)  (-0.009098+0.009098j)  (0.001667+0.000784j)  (0.000884-0.002082j)  (-0.001899-0.000282j)  (-0.001579+0.001427j)  (0.000699+0.000396j)  (-0.000739-0.000401j)  (0.003796+0.002520j)  (0.001383-0.000355j)  (0.000080-0.009383j)  (-0.001869-0.000671j)  (0.011432-0.000766j)  (-0.011862+0.001505j)  (0.001806-0.000762j)  (-0.000649+0.000391j)
 (0.000991-0.002152j)  (-0.978195-0.004258j)  (-0.002255-0.002448j)  (-0.015485+0.002164j)  (0.000188-0.002253j)  (-0.015894+0.006306j)  (-0.002261-0.002706j)  (-0.032408+0.010624j)  (0.003937-0.000392j)  (0.005103+0.016367j)  (0.009506+0.003790j)  (-0.001966-0.004802j)  (0.015466-0.001576j)  (0.004924-0.110715j)  (0.095859-0.039661j)  (-0.003170+0.004597j)  (-0.019982-0.116562j)  (-0.000160-0.002159j)  (-0.001995-0.001838j)  (0.011722-0.047859j)  (0.001662-0.000981j)  (0.002436-0.000824j)  (-0.003261+0.001478j)  (0.013629+0.017185j)  (-0.014184-0.007538j)  (0.000135+0.000141j)  (-0.007598+0.004718j)  (0.001376-0.000607j)  (-0.008193-0.004203j)  (-0.003526+0.015659j)  (0.000393-0.000044j)  (-0.002562+0.002169j)
 (-0.001089+0.002502j)  (0.001468-0.002921j)  (-0.967484-0.001540j)  (0.012114-0.001354j)  (0.000300-0.001631j)  (0.021049+0.155750j)  (0.062408+0.013822j)  (0.028960-0.013726j)  (-0.009506-0.007619j)  (-0.004077-0.002967j)  (-0.001359-0.003341j)  (0.033436+0.005778j)  (0.086665-0.129748j)  (0.004515-0.000369j)  (-0.006839-0.001215j)  (-0.000619-0.000266j)  (0.025845+0.000927j)  (-0.050425-0.017548j)  (-0.023682-0.029103j)  (-0.000690-0.000972j)  (0.000210+0.000584j)  (-0.002097-0.000140j)  (-0.001199-0.004852j)  (-0.001893+0.000567j)  (0.046954-0.022027j)  (-0.001143-0.000464j)  (0.005328+0.010114j)  (0.001662-0.014441j)  (0.002285+0.000647j)  (-0.002693+0.014304j)  (0.000255-0.004714j)  (-0.000411+0.000141j)
 (-0.002001-0.001247j)  (0.017627+0.007399j)  (-0.011016-0.001365j)  (-0.967003-0.003339j)  (0.003699+0.002400j)  (-0.054506+0.045652j)  (-0.018869-0.154965j)  (0.008910+0.030794j)  (-0.001161-0.001263j)  (-0.000024+0.003389j)  (0.018920+0.004130j)  (0.015574+0.009293j)  (-0.011574-0.004985j)  (-0.021512+0.092077j)  (0.139140+0.025531j)  (0.005823-0.003330j)  (0.003485+0.008723j)  (-0.022255-0.009634j)  (-0.002750+0.000090j)  (0.006537+0.003336j)  (-0.002204-0.000845j)  (-0.005375-0.001333j)  (-0.002275-0.000580j)  (0.001846-0.001106j)  (-0.022944+0.016832j)  (0.001347+0.000139j)  (0.013514-0.040158j)  (0.001529-0.002494j)  (-0.000553+0.002443j)  (0.004666-0.006515j)  (0.005757+0.023173j)  (0.000277-0.003615j)
 (0.000335+0.002853j)  (0.000422-0.000956j)  (0.000880-0.002153j)  (-0.005128+0.001919j)  (-0.999377-0.003975j)  (0.002978-0.007703j)  (0.001813+0.002528j)  (0.002084-0.005074j)  (0.000249-0.000333j)  (0.000908+0.000915j)  (0.004038+0.002597j)  (0.000862-0.001074j)  (0.001239+0.001468j)  (0.009016-0.003412j)  (-0.000737-0.000507j)  (-0.001268-0.000270j)  (0.001625-0.002800j)  (-0.025288-0.008562j)  (-0.010622-0.006169j)  (-0.001554+0.001086j)  (0.001321+0.000100j)  (0.003608-0.001098j)  (0.000922+0.000630j)  (0.000757-0.000221j)  (0.002904-0.001055j)  (0.000046+0.000477j)  (-0.000187+0.003294j)  (0.004368-0.000123j)  (0.000550+0.001627j)  (-0.001872-0.000719j)  (0.002674-0.001173j)  (-0.000060+0.000747j)
 (-0.012319-0.001922j)  (0.005866-0.004295j)  (-0.025026+0.178706j)  (0.015561+0.031438j)  (-0.003599-0.000566j)  (-0.903463-0.028802j)  (-0.048269+0.242576j)  (0.048546+0.102540j)  (-0.002036+0.005250j)  (0.002670-0.002212j)  (0.007639-0.007690j)  (-0.042970+0.118811j)  (-0.039650-0.029827j)  (-0.003983-0.009861j)  (0.013914-0.014374j)  (0.003065-0.006023j)  (-0.019521+0.080603j)  (0.091712-0.172759j)  (0.002199-0.002995j)  (0.006807-0.004505j)  (-0.000043+0.003042j)  (0.001306+0.005649j)  (0.001762+0.003116j)  (0.001468-0.006913j)  (0.041033+0.015588j)  (0.000303-0.003281j)  (-0.042832+0.023295j)  (0.049733+0.002425j)  (0.001259-0.001161j)  (-0.052990-0.019374j)  (0.019507+0.006133j)  (-0.000143+0.001791j)
 (0.004121+0.003155j)  (0.001838-0.001403j)  (-0.019709+0.013114j)  (0.048918-0.171271j)  (-0.004011+0.004001j)  (0.024279+0.252539j)  (-0.888730-0.056080j)  (0.116992+0.028082j)  (-0.002175+0.001708j)  (0.000169+0.005868j)  (0.016613+0.015398j)  (0.025924-0.035643j)  (-0.009025-0.012799j)  (0.017906-0.036059j)  (0.012570+0.006285j)  (-0.002754-0.003285j)  (0.003573-0.014500j)  (-0.032880+0.044059j)  (0.025703+0.011293j)  (0.001400+0.003720j)  (-0.001585+0.002196j)  (-0.010719+0.005036j)  (-0.004404+0.002612j)  (0.015946-0.000337j)  (-0.003025+0.152903j)  (-0.002967-0.002297j)  (-0.038134-0.143294j)  (-0.010619+0.028128j)  (0.001599+0.000895j)  (-0.096905-0.165058j)  (0.020271+0.058471j)  (-0.000362+0.001493j)
 (0.024459+0.187290j)  (0.013066-0.003956j)  (-0.014007+0.002072j)  (-0.002141+0.010631j)  (-0.002081-0.003992j)  (-0.018525+0.122694j)  (-0.083532+0.042362j)  (-0.944825-0.020743j)  (-0.002246+0.001171j)  (-0.000337-0.000437j)  (0.000743+0.002014j)  (0.017326+0.021874j)  (-0.001973-0.002988j)  (0.005127+0.002201j)  (0.010925-0.000705j)  (0.021113+0.049181j)  (-0.083455+0.172449j)  (-0.027278-0.020726j)  (0.005102+0.001427j)  (0.001417+0.001147j)  (-0.000696+0.002470j)  (-0.001019-0.001969j)  (0.000945+0.002726j)  (0.001352+0.001343j)  (-0.010282+0.022276j)  (-0.001190+0.001248j)  (0.026422+0.003495j)  (0.010294-0.007199j)  (-0.001398-0.002866j)  (-0.017720-0.053925j)  (0.006030+0.003542j)  (-0.001065+0.000623j)
 (0.000694-0.003903j)  (-0.003700+0.000168j)  (0.001293-0.001286j)  (0.000992-0.000381j)  (-0.000018-0.000280j)  (-0.000304+0.001728j)  (0.002308+0.002234j)  (0.001175+0.000687j)  (-0.996898-0.003192j)  (-0.004248+0.003307j)  (0.030242+0.018483j)  (0.000252-0.000457j)  (0.002238+0.068139j)  (-0.006118-0.001645j)  (-0.002220+0.002913j)  (0.000253+0.001704j)  (0.000931-0.001285j)  (-0.001234-0.001206j)  (0.000856-0.001620j)  (-0.003386-0.000242j)  (0.000949-0.001226j)  (-0.006936-0.006869j)  (-0.000780-0.000954j)  (-0.000323+0.000653j)  (-0.003300-0.001462j)  (0.000244+0.000015j)  (-0.000222-0.000124j)  (-0.000350+0.000018j)  (-0.000926-0.000424j)  (0.001853+0.001035j)  (0.001822-0.000637j)  (-0.000380+0.001136j)
 (0.000703-0.001782j)  (0.001253+0.014496j)  (0.003823-0.001779j)  (-0.000795-0.000720j)  (-0.001821+0.000855j)  (0.000240-0.004127j)  (-0.003198+0.001399j)  (0.000330-0.000381j)  (0.000138+0.001253j)  (-0.973662-0.002818j)  (-0.056894-0.118816j)  (-0.000589+0.000599j)  (-0.000342+0.001078j)  (-0.005087+0.008449j)  (0.006070-0.003581j)  (0.001067+0.000989j)  (-0.003633+0.001163j)  (0.001031-0.001221j)  (-0.000321+0.000778j)  (0.025423-0.152543j)  (0.000630+0.000046j)  (0.007367-0.000835j)  (-0.000221-0.000959j)  (0.001935+0.001837j)  (0.016567+0.016135j)  (-0.000772+0.001297j)  (0.002176-0.003520j)  (-0.000462-0.000076j)  (0.010654-0.097555j)  (0.001573+0.002035j)  (0.001878+0.000024j)  (0.002634+0.001065j)
 (0.002229+0.000659j)  (-0.014475-0.000309j)  (0.001013+0.002067j)  (-0.019400-0.015326j)  (-0.003544+0.003374j)  (-0.001410-0.002994j)  (-0.011679+0.001070j)  (0.001284+0.002153j)  (-0.030543+0.019105j)  (0.051636-0.116781j)  (-0.980917+0.024970j)  (-0.002672-0.000377j)  (-0.002512+0.006006j)  (0.039110+0.035477j)  (0.003707-0.075258j)  (-0.002354-0.004004j)  (-0.009175+0.005201j)  (0.001025-0.000617j)  (-0.002655+0.001362j)  (0.014854+0.027274j)  (0.002134+0.001106j)  (-0.002665+0.012957j)  (-0.001427+0.000044j)  (0.000110+0.001821j)  (0.068353+0.051708j)  (0.000802-0.000703j)  (-0.017649+0.006550j)  (0.002049+0.000802j)  (0.019152+0.017742j)  (0.014474+0.002299j)  (-0.007168+0.010171j)  (0.000392+0.000257j)
