 (-0.978411-0.012235j)  (-0.000603+0.000562j)  (0.041490+0.015814j)  (0.000344+0.005218j)  (-0.002961+0.002915j)  (0.069763-0.109357j)  (-0.002557-0.001907j)  (-0.045555+0.130048j)  (0.001574-0.001999j)  (-0.005130+0.003082j)  (0.000995-0.000252j)  (0.015252+0.009199j)  (0.020272+0.001868j)  (-0.001148-0.003316j)  (0.000211-0.000495j)  (0.007622-0.015861j)  (-0.029064-0.013100j)  (-0.026603-0.024384j)  (0.001472+0.003510j)  (0.001643-0.003470j)  (-0.000329-0.000864j)  (-0.003632+0.001827j)  (-0.001665+0.001232j)  (-0.001506-0.000993j)  (0.000873-0.000778j)  (-0.001168+0.001297j)  (-0.002401+0.003105j)  (0.001491-0.001608j)  (-0.004892+0.031569j)  (-0.008715-0.010629j)  (0.004009+0.000135j)  (0.000516+0.001179j)
 (0.000925-0.001209j)  (-0.966713-0.012408j)  (-0.000982+0.000860j)  (0.012451+0.008341j)  (-0.004093-0.001225j)  (-0.010084+0.003572j)  (-0.000325-0.000983j)  (0.000856-0.000466j)  (0.000982+0.000479j)  (-0.031168+0.025714j)  (-0.034543-0.012263j)  (0.009225-0.008876j)  (-0.017119-0.008734j)  (0.013102-0.132536j)  (-0.076605-0.174820j)  (0.004237+0.003194j)  (-0.035266+0.007048j)  (0.000589+0.000335j)  (-0.007737-0.008958j)  (-0.002745+0.064864j)  (0.000335-0.000543j)  (0.000189+0.002161j)  (-0.007925+0.001095j)  (0.000527+0.002418j)  (-0.000233+0.002105j)  (-0.000872+0.000003j)  (-0.023755+0.026601j)  (0.004654-0.002238j)  (-0.002070+0.003968j)  (-0.013217-0.003392j)  (0.001878-0.000593j)  (-0.001755+0.000969j)
 (-0.018789+0.012589j)  (-0.002607-0.002493j)  (-0.971748-0.011772j)  (0.017471-0.106804j)  (-0.000034-0.002423j)  (0.022602-0.156113j)  (0.000890-0.002290j)  (-0.054576-0.018783j)  (-0.003539-0.006541j)  (-0.001729+0.000690j)  (-0.008559+0.001122j)  (0.017105-0.000345j)  (0.103827-0.005189j)  (-0.038514+0.014997j)  (0.003307-0.006946j)  (0.003348+0.000529j)  (-0.016165+0.001034j)  (-0.037683-0.003432j)  (-0.004442+0.005976j)  (-0.002365+0.001030j)  (-0.000278+0.000023j)  (-0.001395-0.001314j)  (-0.002407+0.002114j)  (0.000443-0.000600j)  (-0.001914+0.003044j)  (0.000113-0.000271j)  (0.010113+0.011342j)  (0.002121-0.003848j)  (0.001436+0.004397j)  (-0.002933-0.002212j)  (-0.000161-0.001131j)  (0.003803+0.002892j)
 (-0.000282+0.000226j)  (-0.002777-0.001640j)  (-0.009269-0.108744j)  (-0.990964-0.040555j)  (0.002794+0.004433j)  (0.003978-0.013715j)  (-0.010361-0.007883j)  (-0.001783+0.001115j)  (0.001249-0.000266j)  (0.001008-0.000621j)  (-0.002719+0.011083j)  (0.003630+0.000770j)  (-0.003995+0.003409j)  (-0.018012-0.017564j)  (-0.047046-0.024119j)  (0.004180-0.002026j)  (-0.001501-0.000154j)  (-0.003067+0.001523j)  (-0.003544-0.003457j)  (-0.002581-0.002821j)  (-0.003041+0.000595j)  (-0.000287+0.000264j)  (-0.001035+0.001469j)  (-0.000839+0.000208j)  (0.000111+0.001584j)  (-0.000164+0.001690j)  (-0.002519+0.008455j)  (-0.001258-0.004531j)  (-0.000175+0.003358j)  (-0.003303+0.002920j)  (-0.002796-0.002086j)  (0.009046-0.009839j)
 (0.003261+0.003393j)  (0.003760-0.000735j)  (-0.000458-0.002675j)  (-0.002977+0.004160j)  (-0.998449-0.011361j)  (-0.007036-0.009289j)  (0.001794-0.000361j)  (-0.000062-0.001135j)  (0.000307-0.000789j)  (0.000169+0.001277j)  (0.001120-0.000870j)  (0.000811+0.000496j)  (-0.000468-0.000149j)  (0.002534+0.001129j)  (0.000443+0.002029j)  (-0.000022+0.000800j)  (0.000972+0.002086j)  (0.035609-0.037695j)  (0.002265-0.001035j)  (-0.002007+0.000378j)  (0.000994-0.000220j)  (-0.001405+0.001461j)  (0.000409+0.000510j)  (0.000769-0.000588j)  (0.001523-0.001277j)  (0.001254-0.000177j)  (0.002562+0.001055j)  (-0.000854+0.002336j)  (-0.000539+0.002226j)  (-0.000914+0.001139j)  (0.000556-0.001873j)  (0.000635+0.000527j)
 (-0.036916-0.128691j)  (0.010320-0.000943j)  (0.000067-0.164492j)  (0.016721-0.012752j)  (0.001547-0.002874j)  (-0.935460-0.097456j)  (0.004543-0.001398j)  (-0.042723+0.170271j)  (-0.000425-0.002406j)  (0.000673-0.003323j)  (-0.001885+0.001506j)  (-0.010701-0.080744j)  (0.043391+0.017959j)  (-0.008161-0.008001j)  (-0.002907+0.003598j)  (0.000048-0.012174j)  (-0.006945+0.081965j)  (-0.000526+0.150572j)  (-0.001208+0.001267j)  (-0.008107+0.001064j)  (-0.000901-0.000320j)  (-0.000625+0.001940j)  (0.001763+0.004754j)  (-0.002176+0.000824j)  (0.002087+0.000705j)  (0.001265+0.000638j)  (0.006717+0.001014j)  (-0.011868-0.002274j)  (-0.005582-0.007147j)  (0.002493-0.004543j)  (0.003339-0.001592j)  (-0.000567+0.001998j)
 (0.001383-0.003113j)  (0.000882-0.001375j)  (0.001526-0.002277j)  (0.011741-0.007378j)  (-0.001553+0.000174j)  (-0.003403+0.000017j)  (-0.974549-0.009878j)  (-0.004880-0.001106j)  (0.002313-0.000396j)  (0.001470+0.000140j)  (0.002150-0.002846j)  (-0.001646+0.002632j)  (0.001275+0.000746j)  (0.013658+0.013709j)  (0.010865-0.002052j)  (0.000506+0.000346j)  (0.004955+0.002912j)  (0.006163-0.002047j)  (-0.020063+0.000769j)  (-0.003713+0.004080j)  (-0.000800-0.002532j)  (0.001603-0.001513j)  (-0.010466+0.005447j)  (0.008347+0.007282j)  (-0.021824+0.118227j)  (-0.001586-0.001930j)  (0.005385+0.081368j)  (-0.073465-0.099358j)  (0.001023+0.001192j)  (-0.034729+0.100563j)  (-0.025084-0.015753j)  (-0.000404+0.003622j)
 (0.029177+0.143669j)  (-0.001500-0.000977j)  (0.027116-0.003316j)  (-0.000695+0.004695j)  (-0.000914-0.000374j)  (0.014953+0.176097j)  (0.004236-0.001167j)  (-0.956646+0.038846j)  (0.003036-0.007081j)  (0.001615+0.006561j)  (-0.001415+0.001017j)  (-0.020208-0.012483j)  (0.039999+0.120213j)  (0.012238-0.011926j)  (0.002340+0.005828j)  (0.049953+0.061577j)  (0.011345-0.047523j)  (0.029477+0.018014j)  (-0.021384-0.006135j)  (-0.000879+0.002131j)  (-0.001614-0.000594j)  (0.001959+0.000170j)  (-0.001599-0.002897j)  (0.006409-0.001374j)  (-0.000070-0.001676j)  (0.001039-0.000144j)  (-0.016199-0.003970j)  (-0.001101+0.002145j)  (0.044523+0.000083j)  (0.006286+0.000919j)  (-0.000971+0.001252j)  (-0.000486-0.001879j)
 (-0.002503-0.001150j)  (-0.001132+0.000316j)  (-0.000955-0.002523j)  (-0.000762-0.000456j)  (-0.000281-0.000760j)  (0.000421-0.000446j)  (-0.002287-0.000783j)  (0.000686+0.000072j)  (-0.998042-0.008989j)  (0.000117-0.000597j)  (-0.000201+0.001891j)  (0.000040-0.002000j)  (-0.038796+0.043022j)  (0.008595+0.002451j)  (-0.001648+0.001553j)  (-0.001402+0.002066j)  (0.000837-0.000010j)  (0.000449+0.001057j)  (-0.005510-0.008503j)  (-0.001021-0.000442j)  (0.001797-0.001271j)  (-0.013721-0.001337j)  (-0.001380-0.001604j)  (0.000666+0.001082j)  (-0.000796+0.001427j)  (0.000815-0.000850j)  (-0.001342-0.001881j)  (-0.000066+0.001863j)  (-0.001807+0.000368j)  (0.004187+0.001769j)  (-0.000664+0.002150j)  (-0.001755+0.000500j)
 (0.002609+0.000843j)  (0.022149+0.024382j)  (0.001724+0.000283j)  (-0.000907-0.000367j)  (-0.000445+0.001424j)  (-0.000139-0.001767j)  (-0.000545-0.000732j)  (0.000698+0.002202j)  (-0.000519-0.000126j)  (-0.984332-0.009548j)  (-0.004586-0.004156j)  (-0.012786+0.000450j)  (-0.002712-0.000434j)  (-0.014595+0.003883j)  (0.002770-0.004840j)  (0.000510+0.000295j)  (0.001837+0.001644j)  (-0.001756-0.001821j)  (0.002055+0.000683j)  (0.016098-0.126005j)  (0.000112-0.000377j)  (0.011899+0.000367j)  (-0.001246+0.000099j)  (0.000314+0.001353j)  (0.002957+0.000590j)  (0.000752-0.000027j)  (0.006706+0.007450j)  (-0.008176-0.004180j)  (0.069021-0.090301j)  (0.000094-0.000746j)  (-0.000319-0.001437j)  (0.002153+0.001471j)
 (-0.000977-0.000197j)  (0.016309-0.009734j)  (0.006783+0.001820j)  (-0.002294+0.009010j)  (-0.000804-0.000951j)  (0.001718+0.001896j)  (-0.001025-0.002752j)  (0.002442+0.000796j)  (0.000378+0.001595j)  (0.004697-0.004450j)  (-0.995297-0.005105j)  (0.000084+0.000281j)  (0.001240+0.001673j)  (0.006458+0.007978j)  (0.042627+0.080361j)  (-0.003400-0.003566j)  (0.000896-0.001211j)  (0.000371-0.000579j)  (0.003177+0.001872j)  (0.000845+0.002184j)  (0.000391+0.000695j)  (-0.006095+0.005465j)  (0.000776-0.000573j)  (-0.002658-0.000084j)  (-0.004607+0.010949j)  (0.001085+0.000100j)  (0.003760-0.003911j)  (-0.003090+0.000338j)  (0.001660-0.004406j)  (0.006981-0.001762j)  (0.004559-0.002269j)  (0.001400-0.001582j)
