 (-0.956197+0.001025j)  (0.021907-0.007643j)  (0.005043-0.009305j)  (-0.001445+0.023735j)  (0.013251+0.006165j)  (-0.017560+0.007279j)  (-0.002988-0.010233j)  (-0.022602-0.013229j)  (0.027507+0.155006j)  (-0.003033+0.001263j)  (-0.014541-0.027233j)  (0.001541-0.001758j)  (-0.008230+0.000345j)  (-0.014568-0.017275j)  (0.025299+0.021093j)  (-0.002687-0.003624j)  (-0.034947+0.003625j)  (0.007333-0.009740j)  (-0.004822-0.092536j)  (0.049295-0.024643j)  (-0.014620+0.007613j)  (-0.003851-0.015140j)  (-0.019267-0.009881j)  (0.005231+0.002322j)  (0.056412-0.104571j)  (0.002255+0.003401j)  (-0.075811+0.096905j)  (-0.002064-0.004853j)  (-0.100665+0.034209j)  (-0.025561+0.002906j)  (0.015464+0.010409j)  (0.003316-0.003367j)
 (-0.019559-0.008326j)  (-0.982056-0.012744j)  (-0.001981+0.003628j)  (0.004185+0.006068j)  (-0.012906+0.006535j)  (-0.012828-0.007072j)  (0.011527-0.000437j)  (0.004967+0.015250j)  (-0.024336-0.011366j)  (0.006316-0.003254j)  (-0.001260-0.005551j)  (0.002759+0.026861j)  (0.000018-0.007455j)  (-0.000121-0.015259j)  (-0.000143+0.002043j)  (0.001878-0.018728j)  (-0.007075-0.012422j)  (0.001917+0.006933j)  (-0.023269-0.011105j)  (-0.008724+0.009310j)  (-0.013212+0.001372j)  (0.002200+0.012481j)  (-0.097382+0.127096j)  (0.000772+0.014783j)  (-0.004289-0.006897j)  (-0.008677+0.002272j)  (-0.024897+0.015345j)  (0.012993+0.006017j)  (-0.011933+0.002483j)  (0.054174-0.000525j)  (0.002274-0.006290j)  (-0.016531+0.000588j)
 (-0.003365-0.011553j)  (0.000814+0.003793j)  (-0.980653+0.031591j)  (-0.014112-0.011863j)  (0.015808+0.002327j)  (-0.003213+0.002175j)  (-0.007392+0.005549j)  (0.017308-0.002096j)  (0.003099+0.004801j)  (0.029283-0.147422j)  (-0.006438-0.006185j)  (-0.011672+0.003237j)  (-0.014051-0.034021j)  (0.005713+0.010222j)  (-0.009569-0.000019j)  (0.014162+0.003732j)  (-0.007575+0.014015j)  (-0.010679-0.013643j)  (0.008727+0.001941j)  (-0.005504-0.016246j)  (-0.011425+0.009749j)  (-0.017091-0.000993j)  (-0.004084-0.015295j)  (0.008391+0.003233j)  (-0.003339-0.000621j)  (-0.006353-0.008562j)  (-0.000642+0.015382j)  (-0.004114-0.094796j)  (0.005329+0.005457j)  (0.013511+0.004042j)  (0.000984-0.002559j)  (0.010245-0.001148j)
 (-0.003246+0.002271j)  (0.004833+0.004357j)  (0.015647-0.000199j)  (-0.946518+0.038919j)  (-0.023528-0.005444j)  (0.021413+0.007348j)  (-0.004186-0.014628j)  (-0.024784+0.024179j)  (-0.001930-0.012061j)  (0.017706+0.022958j)  (0.011984+0.003959j)  (-0.056694+0.062452j)  (0.015512+0.007792j)  (0.020814-0.089502j)  (-0.006697-0.121059j)  (0.026968-0.015686j)  (-0.023577-0.015123j)  (-0.012869+0.002157j)  (-0.012283+0.112283j)  (-0.007303+0.001468j)  (-0.034068+0.087998j)  (0.002767-0.001714j)  (-0.026029+0.025572j)  (-0.008347-0.000095j)  (-0.064063-0.149839j)  (-0.002998+0.013383j)  (0.041282-0.005638j)  (0.090882-0.062653j)  (0.011044-0.021757j)  (-0.017200-0.013628j)  (0.002465+0.028652j)  (0.018647+0.008763j)
 (-0.003217+0.008927j)  (0.009747+0.007780j)  (-0.010417+0.002044j)  (0.015119-0.004596j)  (-0.969331-0.050444j)  (-0.016299+0.005333j)  (0.011928-0.002803j)  (-0.135765+0.018351j)  (-0.002470-0.006298j)  (-0.007110-0.012477j)  (-0.005386-0.004120j)  (0.023654-0.039118j)  (-0.010334-0.004467j)  (0.003752-0.008220j)  (0.006919+0.006955j)  (-0.022111-0.008016j)  (0.038031-0.109811j)  (-0.005584+0.004844j)  (0.014494-0.075968j)  (0.004722-0.009191j)  (-0.016629-0.059180j)  (-0.000229+0.011119j)  (0.022195-0.000957j)  (0.008481-0.014250j)  (-0.011767+0.000331j)  (-0.014586-0.019807j)  (-0.017122+0.006636j)  (0.005833-0.091304j)  (0.002353+0.012535j)  (-0.023204-0.003340j)  (-0.005723-0.002035j)  (0.008443-0.014008j)
 (-0.000960+0.008190j)  (0.011363-0.002828j)  (0.003409+0.005591j)  (-0.006673-0.003073j)  (0.007875+0.014300j)  (-0.919683-0.324367j)  (0.021235+0.136481j)  (-0.016597-0.015621j)  (0.000611-0.008042j)  (0.026666+0.004931j)  (0.011060+0.010589j)  (-0.005823-0.018257j)  (-0.003920+0.000037j)  (-0.015165-0.007284j)  (0.003202-0.046211j)  (-0.016590-0.019609j)  (-0.015095-0.019874j)  (-0.025379-0.004022j)  (0.020837+0.109076j)  (-0.012547-0.005106j)  (-0.007313+0.003842j)  (-0.007167+0.000658j)  (-0.003126-0.013079j)  (0.008390+0.013024j)  (-0.011245-0.002570j)  (0.000614-0.002199j)  (0.031421+0.013591j)  (-0.008880+0.007676j)  (-0.010449-0.011429j)  (-0.002396-0.005597j)  (-0.031940-0.083941j)  (0.010077+0.008010j)
 (0.009669-0.004734j)  (-0.008153-0.002483j)  (0.010947+0.006763j)  (-0.002110-0.012533j)  (-0.005928-0.010671j)  (-0.093501+0.100044j)  (-0.952456-0.210405j)  (0.004044+0.012698j)  (-0.019590-0.001474j)  (-0.006869+0.015579j)  (-0.006877-0.003228j)  (-0.005340+0.002562j)  (-0.009859-0.115911j)  (0.003339+0.002974j)  (-0.008858+0.008185j)  (0.011644-0.012875j)  (-0.021994+0.005035j)  (0.007764-0.078727j)  (0.015173-0.056041j)  (-0.016359+0.020586j)  (-0.006930-0.000378j)  (-0.022706-0.004683j)  (-0.001888+0.000852j)  (0.000334+0.003904j)  (0.007039-0.006275j)  (0.004034-0.010686j)  (0.006810-0.012345j)  (-0.010086-0.008904j)  (0.007452-0.001514j)  (0.009061+0.007973j)  (-0.030547-0.012313j)  (-0.029084-0.005340j)
 (0.016368-0.015825j)  (-0.012328+0.003346j)  (-0.011836-0.003990j)  (0.002133+0.016501j)  (0.147615+0.015385j)  (0.011559-0.009001j)  (-0.003275+0.007906j)  (-0.944760-0.003730j)  (-0.016057+0.007762j)  (-0.005763+0.017264j)  (-0.012578+0.018154j)  (0.056749-0.128038j)  (0.014682+0.006273j)  (-0.008079+0.031291j)  (-0.005069+0.027076j)  (0.001942+0.009671j)  (-0.034927-0.010650j)  (-0.007381+0.005543j)  (-0.093276-0.084609j)  (0.029724+0.019233j)  (0.042568+0.037263j)  (0.001937+0.001761j)  (0.035329+0.029429j)  (0.034102+0.012125j)  (0.010923+0.018295j)  (-0.002662-0.019100j)  (0.090583-0.120548j)  (-0.024440-0.104230j)  (-0.019122+0.004060j)  (0.003765-0.016997j)  (-0.001441+0.001012j)  (0.009532-0.010597j)
 (-0.050791+0.153368j)  (0.007541-0.004570j)  (-0.011200+0.001538j)  (0.002277-0.008703j)  (-0.000566-0.007412j)  (0.010018-0.001099j)  (0.017172-0.002671j)  (0.010616+0.002569j)  (-0.932368-0.083618j)  (0.005742+0.009656j)  (0.016804-0.008712j)  (0.007368+0.001294j)  (0.003995+0.024150j)  (-0.011832+0.015614j)  (0.008350-0.042214j)  (0.019922-0.146849j)  (0.001013-0.007656j)  (-0.005056-0.001179j)  (-0.044912+0.025601j)  (-0.020327+0.177029j)  (0.005484-0.004510j)  (-0.002904+0.018765j)  (0.008799-0.158728j)  (0.013764+0.015622j)  (-0.013189+0.037008j)  (0.006350-0.008957j)  (0.003218-0.001607j)  (-0.002239+0.026950j)  (-0.006586+0.046444j)  (-0.013032-0.073940j)  (0.002739+0.013085j)  (-0.016958+0.007486j)
 (-0.002929+0.003636j)  (-0.005683-0.004479j)  (-0.012274-0.149555j)  (-0.006444+0.008662j)  (0.006756-0.002014j)  (-0.015895-0.007331j)  (-0.006029+0.007047j)  (-0.015706+0.020515j)  (-0.005950+0.006823j)  (-0.966247-0.130408j)  (0.001900-0.001223j)  (-0.017408+0.056144j)  (-0.087919+0.039243j)  (0.002323+0.006194j)  (-0.014509-0.017109j)  (-0.000094-0.015774j)  (0.017634+0.006026j)  (-0.012676+0.004814j)  (0.038740+0.071485j)  (0.000610-0.003141j)  (0.008492-0.027499j)  (0.011510+0.004214j)  (-0.000752+0.000675j)  (-0.000772+0.004080j)  (-0.011683+0.001470j)  (-0.010382+0.009890j)  (-0.001380-0.003256j)  (0.024668-0.016094j)  (-0.008958-0.000589j)  (0.001476+0.016626j)  (0.009655-0.012460j)  (0.006474+0.043715j)
 (0.009788-0.013918j)  (0.000045-0.001434j)  (0.006121-0.005624j)  (-0.019373+0.001532j)  (0.003036-0.002479j)  (-0.009051+0.004824j)  (0.005986+0.001628j)  (-0.004012+0.004274j)  (-0.012621-0.017677j)  (0.004599-0.000366j)  (-0.984421-0.071588j)  (0.006640+0.011116j)  (-0.000207-0.008362j)  (0.029985+0.083047j)  (-0.006594-0.010381j)  (-0.003803-0.006247j)  (0.005342-0.040805j)  (0.003369-0.001277j)  (0.030913+0.063786j)  (0.008553-0.003102j)  (0.003680+0.005119j)  (-0.003390-0.009413j)  (0.002016-0.019033j)  (-0.008294+0.010710j)  (-0.004326+0.006736j)  (0.017196-0.004102j)  (-0.075268-0.006029j)  (-0.029274+0.028833j)  (0.003292+0.001947j)  (0.021801+0.003810j)  (0.010423+0.013759j)  (0.004898-0.005622j)
