 (-0.979227+0.002904j)  (0.000825+0.013416j)  (0.010426-0.105121j)  (-0.020257-0.010934j)  (-0.043848+0.009992j)  (0.010485+0.011862j)  (-0.066890-0.120387j)  (0.011399+0.014912j)  (-0.057163+0.025762j)  (-0.034774-0.011472j)  (-0.029814+0.019307j)  (0.000279-0.016411j)  (-0.013858-0.005221j)  (0.012120-0.012777j)  (0.000442-0.007268j)  (0.006936-0.014514j)
 (-0.000999+0.014165j)  (-0.983914-0.012233j)  (0.014789-0.005298j)  (0.022182+0.127683j)  (-0.013440-0.011933j)  (0.013252+0.025357j)  (-0.013531+0.010354j)  (0.039771+0.004119j)  (-0.016323-0.002892j)  (0.037151-0.015083j)  (-0.020619-0.073920j)  (-0.021499-0.034895j)  (0.004449-0.016578j)  (-0.009381-0.021097j)  (0.026131-0.011217j)  (-0.005654-0.019200j)
 (-0.001823-0.134005j)  (-0.024200-0.005994j)  (-0.937796-0.013578j)  (-0.017295+0.027359j)  (0.050422+0.154146j)  (0.030144-0.049715j)  (-0.044369+0.038600j)  (0.000181+0.013648j)  (-0.074850+0.148939j)  (-0.087976+0.147191j)  (0.027235+0.066378j)  (-0.040494+0.007671j)  (0.015936-0.013592j)  (-0.031469+0.022626j)  (-0.012199-0.024671j)  (-0.011908-0.022801j)
 (0.019567-0.004244j)  (-0.023398+0.133050j)  (0.002648+0.020365j)  (-0.967340-0.046882j)  (-0.014359-0.017608j)  (0.018383+0.102218j)  (0.004311-0.010951j)  (-0.013630+0.048498j)  (0.001769-0.016498j)  (0.043692+0.074797j)  (-0.024989-0.047589j)  (0.008081+0.000525j)  (0.005714-0.007744j)  (0.030101-0.051633j)  (0.013022+0.088340j)  (-0.036516+0.072794j)
 (0.011906+0.003632j)  (0.003949-0.015182j)  (-0.045899+0.135891j)  (0.007525-0.016559j)  (-0.975576-0.014088j)  (-0.009596-0.027442j)  (0.066670+0.065496j)  (-0.009493+0.001698j)  (0.062426+0.072269j)  (0.018071-0.003781j)  (0.017955+0.051030j)  (-0.002557+0.005235j)  (0.014868-0.020759j)  (-0.056337+0.023419j)  (-0.010335+0.000425j)  (0.000871+0.013109j)
 (-0.009030+0.002370j)  (-0.008150+0.025219j)  (-0.005285-0.048103j)  (-0.013647+0.108797j)  (0.004528-0.015583j)  (-0.969760+0.011329j)  (0.012809+0.035519j)  (-0.004851-0.092020j)  (0.000704-0.002131j)  (-0.091558+0.109139j)  (-0.051929+0.061767j)  (0.009861-0.004208j)  (0.025037-0.008249j)  (-0.008981-0.011376j)  (0.023405+0.071432j)  (0.014470+0.020300j)
 (0.064999-0.101508j)  (0.005223+0.016517j)  (0.017187+0.075475j)  (0.016487-0.018947j)  (-0.076656+0.042465j)  (-0.025449+0.027284j)  (-0.936371-0.063349j)  (-0.019104+0.056380j)  (0.054022-0.165538j)  (0.019574-0.005223j)  (-0.005326+0.064036j)  (-0.005336+0.007875j)  (-0.007922+0.094696j)  (0.116213-0.154372j)  (0.020170-0.017793j)  (0.055406-0.004420j)
 (-0.021303+0.010538j)  (-0.026834+0.002322j)  (0.009040+0.000928j)  (0.007978+0.055249j)  (0.010936+0.008489j)  (0.008828-0.087666j)  (-0.004316+0.048448j)  (-0.986134-0.014858j)  (-0.015670+0.010524j)  (0.007784+0.010247j)  (0.001230-0.089553j)  (-0.017948+0.004747j)  (0.009257-0.001450j)  (-0.040243-0.016597j)  (-0.028043+0.015765j)  (-0.024521+0.001325j)
 (0.063127+0.040533j)  (0.009437+0.007736j)  (0.068186+0.176527j)  (-0.004707-0.020414j)  (-0.045861+0.039212j)  (-0.025000-0.014009j)  (-0.014548-0.183686j)  (0.000779+0.018603j)  (-0.947629+0.000682j)  (0.021582-0.013510j)  (0.073062+0.061602j)  (0.008656-0.007520j)  (0.015752-0.003974j)  (-0.038339-0.027692j)  (0.019462+0.008741j)  (0.012810-0.090432j)
 (0.018929-0.000101j)  (-0.025174-0.006972j)  (0.081645+0.162537j)  (-0.026642+0.069709j)  (-0.006795-0.023102j)  (0.089271+0.112432j)  (0.010627-0.003569j)  (-0.013242+0.023402j)  (0.006405-0.013497j)  (-0.964132+0.015646j)  (-0.000758-0.003177j)  (-0.017529-0.002103j)  (-0.029145+0.076607j)  (0.013545-0.011034j)  (-0.011890-0.015806j)  (0.012397+0.018942j)
 (0.019507+0.010956j)  (0.021835-0.082301j)  (-0.011259+0.085489j)  (0.024112-0.059201j)  (-0.003479+0.067344j)  (0.044026+0.057321j)  (0.001256+0.040388j)  (0.001031-0.080438j)  (-0.066050+0.065901j)  (0.017162+0.007703j)  (-0.970485-0.036291j)  (-0.006729+0.003725j)  (0.003481+0.005903j)  (-0.040807-0.082595j)  (0.023051-0.028751j)  (-0.001772+0.026092j)
