 (-0.942369-0.024110j)  (0.033891+0.048480j)  (0.026122+0.099071j)  (-0.046872-0.000946j)  (0.012234-0.044863j)  (-0.019360-0.023197j)  (-0.007127+0.015763j)  (0.004028-0.021796j)  (0.004980+0.012386j)  (0.017593-0.095824j)  (0.036532+0.081637j)  (-0.006550+0.017717j)  (-0.025039+0.024932j)  (-0.026346-0.029376j)  (-0.058637-0.011414j)  (0.000451-0.162887j)  (-0.004898+0.022751j)  (0.034136-0.040580j)  (0.047680+0.004549j)  (0.001335-0.008134j)  (-0.018679+0.025407j)  (-0.006238-0.039965j)  (0.079484+0.002210j)  (-0.033851-0.012883j)  (-0.025086-0.008919j)  (-0.019023+0.001306j)  (-0.007111+0.003964j)  (-0.035300+0.020019j)  (0.017243+0.009016j)  (0.055769-0.038360j)  (0.031177+0.121874j)  (-0.017896-0.022232j)
 (-0.011536+0.047722j)  (-0.961754-0.031252j)  (0.059038+0.091082j)  (-0.020635+0.031935j)  (0.033237-0.085044j)  (0.001460-0.000695j)  (0.028420+0.013211j)  (-0.016208-0.087279j)  (-0.017648+0.009817j)  (0.027233-0.022896j)  (0.018105-0.054651j)  (-0.011242+0.024543j)  (0.014493-0.015650j)  (-0.006584-0.011704j)  (-0.037209-0.061291j)  (-0.051179+0.000022j)  (-0.012416+0.005116j)  (0.023045+0.002767j)  (-0.011927+0.014499j)  (0.010050+0.005743j)  (0.013201+0.018386j)  (0.001850-0.006939j)  (0.004518+0.051936j)  (0.012795-0.063911j)  (0.008186-0.006974j)  (0.005650+0.024440j)  (-0.004257+0.049921j)  (0.000283+0.001382j)  (-0.029776-0.069060j)  (0.072570-0.003042j)  (-0.003762+0.009080j)  (0.063104-0.009825j)
 (-0.022455+0.129790j)  (-0.033098+0.098418j)  (-0.928771-0.074529j)  (-0.029438-0.112087j)  (0.031527-0.017086j)  (0.000284+0.012424j)  (0.008695+0.019274j)  (0.004742-0.010703j)  (0.006519-0.003554j)  (-0.019799+0.047289j)  (0.029492-0.019711j)  (-0.010093+0.027707j)  (0.001615+0.012271j)  (-0.006338-0.079447j)  (-0.001029-0.044720j)  (-0.016710+0.018755j)  (0.022823+0.050369j)  (0.034956+0.007726j)  (0.025819+0.060120j)  (-0.015236+0.012049j)  (-0.004342+0.095988j)  (0.052110-0.120910j)  (0.061007+0.056222j)  (0.039667-0.098572j)  (-0.002368+0.003334j)  (0.011721+0.019450j)  (0.000791-0.016183j)  (-0.050657-0.011378j)  (-0.024408-0.014593j)  (0.076180+0.078725j)  (-0.040610-0.026024j)  (0.005778+0.043569j)
 (0.015010-0.013556j)  (-0.008225+0.013892j)  (-0.004434-0.102340j)  (-0.940145-0.052869j)  (-0.003369-0.083582j)  (0.002293+0.018453j)  (-0.012995-0.008244j)  (-0.026242+0.025309j)  (-0.027838-0.010935j)  (-0.030021+0.073991j)  (0.002618+0.033887j)  (0.040275-0.033695j)  (0.018313-0.001460j)  (0.035474+0.000408j)  (0.007212-0.001545j)  (0.029603+0.027940j)  (-0.005791+0.018021j)  (-0.003373-0.012817j)  (-0.041722-0.038856j)  (0.005022-0.029394j)  (-0.017192-0.160781j)  (-0.001154+0.038292j)  (-0.050425-0.028908j)  (0.008998+0.030221j)  (-0.019212+0.099362j)  (-0.023069+0.084704j)  (-0.026544+0.024073j)  (0.014069-0.001192j)  (0.010002+0.013390j)  (-0.077641-0.095936j)  (0.015455-0.015113j)  (-0.030470-0.075968j)
 (-0.012865-0.034531j)  (-0.021830-0.069872j)  (-0.016297+0.007865j)  (0.004428-0.102008j)  (-0.960935-0.007325j)  (0.002482+0.001294j)  (0.029291-0.067723j)  (0.024807-0.014229j)  (0.000533-0.009279j)  (-0.004625-0.013078j)  (0.006716-0.025086j)  (-0.003753+0.001752j)  (0.022486-0.110094j)  (-0.010242-0.000652j)  (-0.017876+0.002243j)  (0.003211-0.050245j)  (0.009976+0.072879j)  (0.023934-0.016493j)  (-0.028184+0.028265j)  (0.011222+0.021026j)  (0.015975+0.006429j)  (0.044790-0.044052j)  (-0.060521+0.066899j)  (0.061254+0.003859j)  (-0.011951+0.008662j)  (-0.000532+0.033638j)  (0.006280+0.042852j)  (0.023174+0.070488j)  (0.013354-0.014635j)  (0.009011+0.019371j)  (-0.002387+0.008670j)  (-0.026866+0.036066j)
 (0.018609-0.005965j)  (0.006185-0.002895j)  (-0.005408+0.009007j)  (-0.007951+0.009704j)  (-0.007750-0.001304j)  (-0.976339-0.022936j)  (-0.025884+0.001181j)  (-0.023383-0.006568j)  (0.007838+0.000198j)  (0.012485+0.005923j)  (0.000631+0.001918j)  (0.011384-0.011804j)  (0.012079-0.011644j)  (0.023205-0.008142j)  (0.011330-0.032029j)  (0.078188-0.016148j)  (-0.039562-0.073132j)  (0.007040-0.013340j)  (0.022375+0.106174j)  (-0.000325+0.006554j)  (0.008009-0.002891j)  (-0.015862+0.039309j)  (0.013373+0.014749j)  (-0.017166+0.013369j)  (0.027956+0.001747j)  (0.022649-0.005395j)  (0.017694+0.012778j)  (0.010201-0.005136j)  (-0.026329-0.083655j)  (0.031174-0.017913j)  (0.022322-0.042351j)  (-0.012316+0.014780j)
 (0.016403+0.002650j)  (-0.000276-0.007587j)  (0.016457+0.001579j)  (0.010840-0.011320j)  (-0.025200-0.083090j)  (0.008042+0.013312j)  (-0.955727+0.008650j)  (-0.027461-0.015495j)  (-0.002768+0.018965j)  (-0.007024-0.024848j)  (0.021220-0.007823j)  (-0.009139+0.000522j)  (0.019394-0.012005j)  (-0.046702+0.007851j)  (-0.006035-0.031139j)  (-0.086817+0.074625j)  (0.042694+0.052787j)  (-0.000247-0.024810j)  (-0.004049+0.007995j)  (-0.035306-0.113045j)  (0.017923-0.002897j)  (0.009346-0.011056j)  (0.065345+0.047775j)  (-0.036411-0.076898j)  (0.024757+0.010228j)  (0.041962+0.004224j)  (0.020093+0.107479j)  (-0.043080+0.002863j)  (0.046767+0.060552j)  (0.010901+0.017673j)  (-0.011779+0.029941j)  (0.029213+0.015086j)
 (-0.001889-0.029348j)  (0.016081-0.075501j)  (-0.018801-0.002884j)  (0.008607+0.009176j)  (-0.012695-0.004105j)  (0.014440-0.000257j)  (0.030158-0.025203j)  (-0.967633-0.004286j)  (0.007505+0.030637j)  (0.007313+0.011425j)  (0.036398-0.047261j)  (0.015057-0.000384j)  (0.000222-0.005059j)  (-0.000466+0.085748j)  (-0.051032-0.029414j)  (-0.013416-0.041977j)  (0.007233-0.021492j)  (0.003536+0.012891j)  (-0.019613-0.016842j)  (-0.066727-0.017497j)  (-0.017238+0.072700j)  (-0.005297+0.009974j)  (-0.001224-0.010621j)  (0.022460+0.044369j)  (-0.021925+0.060628j)  (0.014020-0.021844j)  (0.001653-0.023003j)  (0.025404-0.011725j)  (0.015359+0.017177j)  (-0.007123+0.098472j)  (-0.008521+0.075185j)  (-0.007656+0.003813j)
 (-0.002597-0.000141j)  (-0.001129-0.003028j)  (-0.023273-0.001611j)  (0.014053+0.005385j)  (-0.009958+0.001758j)  (-0.010788-0.005615j)  (-0.004314+0.002494j)  (-0.008803+0.024261j)  (-0.965604-0.011921j)  (-0.060907-0.085414j)  (-0.009510-0.009840j)  (-0.001901+0.003535j)  (0.001990+0.000042j)  (0.013120+0.007703j)  (-0.039472+0.063064j)  (0.013941+0.003941j)  (0.013442-0.016477j)  (-0.012425-0.024637j)  (0.005615+0.017920j)  (-0.021839-0.011697j)  (-0.000538+0.038108j)  (0.000960-0.022552j)  (-0.056591-0.072286j)  (-0.027211+0.004946j)  (-0.032199-0.047232j)  (-0.078938-0.119825j)  (0.022592+0.035088j)  (-0.008614-0.070022j)  (0.002847+0.030769j)  (-0.000418-0.024597j)  (-0.001041-0.033646j)  (-0.043728-0.005728j)
 (0.011550-0.108664j)  (-0.008537-0.029153j)  (-0.006117+0.026653j)  (-0.001019+0.094283j)  (0.004949-0.015653j)  (0.001661-0.004285j)  (0.006074-0.012835j)  (-0.007530-0.003200j)  (0.069099-0.073137j)  (-0.938469-0.089411j)  (-0.007859-0.020592j)  (0.039700-0.077536j)  (-0.021148+0.126822j)  (0.032206+0.002460j)  (-0.034914-0.019880j)  (-0.001388-0.041037j)  (-0.003290+0.012307j)  (0.013052-0.089469j)  (-0.008698+0.033044j)  (0.018347-0.016288j)  (0.039133+0.107413j)  (-0.027903+0.012924j)  (-0.027883+0.032640j)  (0.000897-0.021713j)  (0.011246-0.029051j)  (-0.008150-0.000142j)  (-0.004845+0.020300j)  (0.016669+0.090964j)  (-0.039990-0.022730j)  (0.045019-0.077049j)  (-0.017980-0.007661j)  (0.038128+0.027794j)
 (-0.038536+0.090052j)  (0.003242-0.053350j)  (-0.017119-0.005596j)  (-0.004097+0.032098j)  (-0.002481-0.033765j)  (-0.003420+0.006433j)  (0.001326+0.005823j)  (-0.025511-0.058268j)  (0.014437-0.004488j)  (-0.002286-0.021829j)  (-0.963041-0.010595j)  (-0.009983+0.001598j)  (-0.001907-0.000971j)  (0.005445+0.011501j)  (0.013910+0.003002j)  (-0.063298+0.019330j)  (-0.021690-0.001467j)  (0.017987-0.002612j)  (-0.013000+0.082682j)  (-0.034219-0.007960j)  (-0.029299-0.072457j)  (0.028254+0.003927j)  (-0.013143+0.056472j)  (0.041748-0.039316j)  (-0.015206+0.077850j)  (-0.014435-0.109252j)  (-0.018965+0.009386j)  (-0.016779+0.000888j)  (-0.000367+0.036720j)  (0.020934+0.012835j)  (-0.026236+0.057557j)  (0.005399-0.003403j)
