 (-0.948649-0.001394j)  (-0.037948-0.015693j)  (-0.028694-0.014312j)  (-0.023906+0.002105j)  (0.007717+0.000072j)  (-0.023253-0.011508j)  (0.016762+0.011679j)  (-0.024116+0.004489j)  (0.026950-0.017042j)  (-0.001221+0.008666j)  (0.033564+0.028006j)  (0.012281+0.002516j)  (0.003243-0.063809j)  (0.003324-0.005828j)  (-0.004810-0.001177j)  (0.057105+0.050550j)  (-0.007543+0.004438j)  (0.003867+0.002672j)  (0.000547+0.004907j)  (0.009129+0.004208j)  (-0.013816-0.012338j)  (0.007433-0.016124j)  (-0.009523+0.009769j)  (0.006290-0.012844j)  (0.005612+0.003029j)  (-0.016315-0.004874j)  (-0.010488-0.008593j)  (-0.020394+0.000036j)  (-0.003709+0.008931j)  (-0.007252+0.001724j)  (-0.000882-0.007315j)  (0.008079-0.004345j)  (-0.013936-0.026037j)  (0.012359-0.014039j)  (-0.007698-0.021512j)  (-0.000513+0.026963j)  (0.013901-0.000772j)  (-0.056924+0.101202j)  (-0.010817+0.009632j)  (0.023150-0.082105j)  (-0.009369+0.003210j)  (0.016848+0.006729j)  (0.002208-0.016189j)  (-0.019073-0.006714j)  (-0.017610+0.000185j)  (0.018880-0.130786j)  (0.019045-0.021170j)  (-0.024159-0.004202j)  (-0.011673+0.002329j)  (0.025990-0.002016j)  (0.008911-0.001717j)  (0.013901+0.004190j)  (0.012993+0.042552j)  (0.010217+0.064343j)  (0.041216+0.089616j)  (0.013067-0.004199j)  (-0.016759+0.054590j)  (0.001288+0.002156j)  (0.002359+0.010714j)  (-0.019433+0.026703j)  (0.009685-0.068546j)  (0.036274+0.080715j)  (-0.009157-0.026064j)  (-0.004702-0.018341j)
 (0.022782-0.013211j)  (-0.979691-0.001525j)  (0.003006-0.004343j)  (-0.015452-0.001752j)  (0.001897-0.006178j)  (0.009729-0.010337j)  (0.046821-0.019823j)  (-0.010809+0.004695j)  (0.013960-0.010444j)  (0.002157+0.004025j)  (0.005067-0.003452j)  (0.003863+0.006789j)  (-0.003467-0.000024j)  (-0.005187+0.012327j)  (0.000623+0.005510j)  (-0.003614-0.010460j)  (-0.002949-0.009655j)  (-0.002862-0.000020j)  (0.004318-0.002265j)  (-0.005398-0.000468j)  (-0.004743-0.010944j)  (-0.019884+0.049068j)  (-0.002408+0.005839j)  (0.002744+0.006772j)  (-0.002031+0.007886j)  (0.012625-0.000888j)  (-0.002510+0.001895j)  (0.075000+0.058096j)  (-0.013724+0.002236j)  (0.000963-0.009898j)  (-0.014195+0.018269j)  (0.012114+0.008972j)  (-0.003660+0.000372j)  (-0.001333-0.015782j)  (0.001369+0.006312j)  (-0.008931-0.031438j)  (-0.003939-0.001999j)  (-0.001701-0.019905j)  (-0.002142-0.001730j)  (-0.007820+0.077101j)  (0.022853-0.000239j)  (-0.003956-0.003443j)  (0.015465+0.001470j)  (-0.018268+0.011119j)  (-0.001197+0.002986j)  (0.014545+0.006912j)  (0.000867-0.068855j)  (0.002716-0.002566j)  (0.010680+0.006310j)  (-0.009241+0.016550j)  (0.006487-0.007019j)  (-0.008999+0.006619j)  (-0.013472-0.037617j)  (-0.015178-0.016197j)  (0.010913-0.005804j)  (0.001684-0.004650j)  (0.000510-0.032985j)  (0.033764+0.038572j)  (0.010002-0.015214j)  (-0.002738-0.008938j)  (0.024741-0.005307j)  (0.003894-0.008927j)  (0.002385+0.005468j)  (0.005398+0.000910j)
 (0.023066-0.020536j)  (-0.012972-0.002449j)  (-0.938230+0.008518j)  (0.015663+0.011406j)  (-0.010070-0.013651j)  (0.023825+0.023255j)  (0.018264-0.008131j)  (0.003074-0.005264j)  (0.011921+0.023581j)  (-0.014341-0.008287j)  (0.013174+0.009673j)  (0.035777-0.000713j)  (0.017988-0.014160j)  (-0.004102-0.025489j)  (0.043974-0.006170j)  (0.008340+0.067598j)  (-0.025566-0.096074j)  (0.008772+0.001704j)  (0.028889-0.012076j)  (-0.008661+0.007420j)  (-0.032467+0.005104j)  (0.007535+0.012764j)  (0.009380+0.005459j)  (0.015018-0.022831j)  (0.024526+0.043667j)  (-0.007238+0.010069j)  (-0.109006-0.032649j)  (-0.025063+0.018954j)  (-0.016364-0.005250j)  (-0.011345-0.003086j)  (0.035082-0.029702j)  (-0.027169-0.126476j)  (0.003754-0.002564j)  (-0.010846-0.001873j)  (0.029746+0.007596j)  (-0.015982-0.007246j)  (0.023781+0.006145j)  (-0.019384-0.011017j)  (0.021255-0.007629j)  (-0.017703-0.052743j)  (-0.007117+0.013701j)  (-0.009561-0.009180j)  (-0.030607+0.127794j)  (0.023786-0.017271j)  (0.005577+0.000098j)  (-0.033940+0.020933j)  (-0.016934+0.081585j)  (0.023077-0.003710j)  (-0.022452-0.006068j)  (-0.025814-0.004679j)  (0.003314-0.000997j)  (-0.014629-0.003256j)  (-0.014946+0.012763j)  (0.017966-0.015919j)  (0.011480-0.102288j)  (-0.004203-0.038482j)  (-0.006268+0.027121j)  (0.004956+0.002814j)  (-0.015581-0.057579j)  (0.000939-0.006352j)  (-0.001164-0.004477j)  (0.023289+0.017474j)  (0.028362+0.015477j)  (0.004828+0.047512j)
 (0.013442+0.007362j)  (0.011413+0.002140j)  (0.002486+0.010140j)  (-0.965054+0.006321j)  (0.009831+0.006885j)  (0.051471+0.022852j)  (0.027729+0.009136j)  (0.014175+0.001464j)  (-0.011816+0.070059j)  (-0.032229+0.003174j)  (-0.010690+0.058173j)  (0.003624+0.010752j)  (0.005604+0.006150j)  (0.011762-0.002651j)  (-0.012392+0.008478j)  (0.007541-0.010270j)  (-0.001261-0.015359j)  (-0.010083+0.002280j)  (-0.023240-0.002390j)  (0.001923-0.000637j)  (-0.029206-0.052993j)  (-0.005740+0.007543j)  (0.009233+0.007581j)  (-0.006381+0.012880j)  (-0.000442-0.010449j)  (-0.001798+0.006542j)  (0.014353-0.013758j)  (-0.005991-0.006392j)  (-0.009514+0.101727j)  (0.034409+0.069813j)  (0.011686-0.007311j)  (-0.007790+0.014432j)  (0.012646-0.000583j)  (0.005861-0.010436j)  (0.014932-0.005293j)  (-0.006489+0.004114j)  (-0.003103+0.037503j)  (0.009905-0.006415j)  (-0.008893-0.071910j)  (0.012206-0.007862j)  (0.005655-0.002981j)  (-0.012384-0.005712j)  (-0.001147+0.096546j)  (-0.012688-0.032969j)  (-0.001237-0.009834j)  (-0.006050-0.002155j)  (-0.007203+0.025122j)  (0.005563+0.010974j)  (-0.014610+0.010807j)  (-0.014461+0.004172j)  (0.001469-0.028643j)  (-0.018218-0.007967j)  (-0.011775+0.009929j)  (0.003019-0.004895j)  (0.013430-0.004595j)  (-0.017557+0.028515j)  (-0.001124+0.009385j)  (-0.036131-0.028587j)  (0.015725-0.002396j)  (0.011913-0.041585j)  (-0.009853+0.002341j)  (-0.022954-0.046872j)  (-0.006369-0.001985j)  (0.029626+0.004800j)
 (-0.001585+0.001906j)  (0.000762-0.010659j)  (-0.015464-0.006939j)  (-0.006699+0.006789j)  (-0.930755+0.002868j)  (0.011202-0.011495j)  (0.009266+0.004609j)  (0.009700+0.001215j)  (-0.009507-0.068877j)  (0.014506-0.003877j)  (-0.013983-0.003108j)  (-0.027401+0.043730j)  (-0.036699+0.083983j)  (-0.003381+0.127383j)  (-0.018118-0.004564j)  (0.001404+0.023213j)  (-0.007842+0.020671j)  (0.011361+0.028670j)  (0.037561-0.083988j)  (-0.028400+0.025692j)  (-0.045003-0.047625j)  (-0.008247-0.015909j)  (0.031371-0.002983j)  (0.037082-0.068539j)  (0.001695+0.005755j)  (0.023190+0.016393j)  (0.004802+0.001147j)  (-0.003911-0.003626j)  (0.045201+0.058598j)  (0.028651-0.048013j)  (-0.001552+0.016207j)  (0.019195+0.060489j)  (-0.006572-0.011800j)  (0.022598-0.009829j)  (-0.005938+0.032996j)  (-0.043790+0.017101j)  (-0.007034+0.084606j)  (0.009826+0.009989j)  (0.016058-0.019331j)  (0.007232+0.008387j)  (-0.025460+0.041143j)  (0.008932-0.005755j)  (-0.019663-0.007820j)  (0.023649-0.002272j)  (0.015964+0.066554j)  (-0.027228-0.034867j)  (-0.021401-0.028356j)  (-0.075896+0.045633j)  (0.012278+0.010336j)  (0.007993+0.106713j)  (0.005875+0.007652j)  (-0.012767-0.006206j)  (0.002544+0.003563j)  (-0.018718-0.002528j)  (-0.055418+0.050200j)  (0.005480+0.012249j)  (0.005086+0.016348j)  (-0.019874-0.004873j)  (0.040494-0.012738j)  (0.021680+0.081075j)  (-0.019276+0.029905j)  (-0.026353+0.020750j)  (-0.009410+0.008068j)  (0.024776-0.008339j)
 (0.016779-0.004227j)  (-0.010222-0.015383j)  (-0.030487+0.011747j)  (-0.042270+0.020336j)  (-0.004191-0.001493j)  (-0.953888-0.040010j)  (-0.029963-0.003818j)  (-0.020091-0.010021j)  (0.029001+0.014912j)  (-0.009367-0.006600j)  (-0.017342+0.091014j)  (-0.012710-0.007128j)  (-0.010101+0.008783j)  (-0.030538+0.085936j)  (0.014909-0.003225j)  (-0.011829+0.001254j)  (-0.009986-0.004096j)  (-0.008949+0.001044j)  (0.007593-0.013722j)  (0.001589+0.004863j)  (0.005517+0.000372j)  (0.001857+0.003208j)  (0.010012+0.011058j)  (0.007876-0.001913j)  (0.013484+0.009509j)  (0.040852+0.018377j)  (0.001411+0.031067j)  (0.019240-0.002753j)  (0.021521+0.015912j)  (-0.021924-0.008990j)  (0.030230+0.032229j)  (-0.007667-0.006007j)  (-0.013178+0.009769j)  (-0.005552-0.001547j)  (0.005801-0.006734j)  (-0.013587-0.004022j)  (0.010813+0.012303j)  (0.012567-0.004544j)  (-0.014281-0.008806j)  (-0.008213-0.001682j)  (-0.000024+0.009208j)  (-0.015843+0.026931j)  (0.011109+0.005810j)  (0.012994-0.002033j)  (0.005700-0.018456j)  (0.013414+0.010718j)  (-0.002719+0.013119j)  (0.021330-0.075531j)  (0.000897-0.016631j)  (0.005350+0.001052j)  (0.000020+0.000304j)  (0.005125+0.011088j)  (0.000945-0.054425j)  (0.032869+0.047439j)  (-0.008189-0.018639j)  (-0.000261-0.074001j)  (-0.023765-0.006153j)  (-0.053196-0.062423j)  (-0.003331+0.062418j)  (0.006622+0.005102j)  (0.009569+0.005173j)  (-0.018460-0.091591j)  (0.000648-0.065359j)  (-0.018057-0.096784j)
 (-0.010485+0.009398j)  (-0.051515-0.022039j)  (-0.005684-0.010281j)  (-0.027379+0.015117j)  (-0.003129+0.013950j)  (0.019516-0.006173j)  (-0.968085-0.017283j)  (-0.000802+0.002223j)  (0.003796-0.006265j)  (-0.002884+0.007669j)  (0.008233-0.009367j)  (-0.003368-0.052766j)  (-0.020677-0.013958j)  (-0.005993-0.009028j)  (0.024485-0.088778j)  (-0.007353-0.002743j)  (0.005245-0.001565j)  (0.015675+0.017839j)  (-0.011805+0.000564j)  (-0.006968+0.002498j)  (-0.001446-0.086615j)  (-0.022579+0.029816j)  (0.004670-0.010336j)  (0.006584-0.047133j)  (0.005528-0.008801j)  (-0.017484-0.052073j)  (-0.009340+0.002597j)  (0.002882+0.000714j)  (0.006914+0.007160j)  (0.004257-0.006452j)  (0.008221+0.010672j)  (-0.018668-0.001070j)  (-0.003075-0.003602j)  (0.004702+0.063689j)  (-0.006795-0.000870j)  (-0.001765-0.005509j)  (0.005006-0.001743j)  (0.009592+0.043810j)  (-0.003393+0.002652j)  (0.025674-0.004576j)  (-0.001341-0.008454j)  (-0.008467+0.000696j)  (-0.006014-0.017162j)  (0.020386-0.051680j)  (-0.003319+0.038460j)  (-0.015753-0.018816j)  (0.003803+0.065661j)  (-0.005103+0.004930j)  (-0.011582-0.031733j)  (-0.008019-0.006299j)  (0.016306+0.038882j)  (-0.015940-0.003375j)  (0.000173-0.005545j)  (-0.013812-0.000177j)  (0.002990-0.007004j)  (0.011321+0.004762j)  (0.007100+0.006158j)  (0.011772+0.000315j)  (0.002924+0.000892j)  (0.005662+0.000255j)  (0.002642+0.000804j)  (0.003073+0.001702j)  (0.015647+0.051653j)  (-0.015287+0.070489j)
 (0.012316+0.002700j)  (0.010770-0.000830j)  (0.000845-0.002655j)  (-0.001438-0.002868j)  (-0.007311-0.005514j)  (0.017890-0.006847j)  (-0.005093+0.004429j)  (-0.972253-0.009587j)  (-0.026263-0.005078j)  (0.001389+0.001814j)  (0.007242+0.000928j)  (-0.003803+0.008926j)  (0.000431+0.008262j)  (-0.010639-0.010995j)  (-0.010886+0.013941j)  (-0.002695-0.006152j)  (0.001005-0.003967j)  (0.001260-0.002472j)  (0.002124+0.009851j)  (0.003295-0.001402j)  (0.007880+0.003295j)  (0.001637-0.001717j)  (0.035677+0.069263j)  (-0.001263+0.003594j)  (0.004724+0.014937j)  (0.002505-0.058464j)  (0.008361-0.006237j)  (0.008968-0.011446j)  (0.006651-0.009142j)  (0.026143+0.056851j)  (0.004819-0.010548j)  (0.005632+0.005258j)  (-0.012752-0.001087j)  (-0.027395-0.015150j)  (0.024639+0.005851j)  (-0.033425+0.082163j)  (-0.006049+0.020455j)  (0.004110-0.016608j)  (-0.009771-0.022542j)  (-0.006359+0.001873j)  (0.003488+0.000184j)  (0.002793-0.009150j)  (0.013018-0.002646j)  (0.016978-0.019370j)  (0.001949+0.006870j)  (0.006723+0.006587j)  (-0.008469+0.001369j)  (0.012548+0.057032j)  (-0.012409-0.001264j)  (0.004429+0.058728j)  (-0.000569-0.015437j)  (-0.004887+0.009246j)  (0.007581+0.063148j)  (0.000582-0.008830j)  (0.035104-0.069086j)  (0.004404-0.003332j)  (-0.004379-0.078292j)  (-0.001328+0.000326j)  (0.011847-0.005454j)  (-0.000036-0.016718j)  (-0.012788+0.000844j)  (-0.005108-0.013363j)  (0.000265-0.004210j)  (0.004073-0.032162j)
 (-0.010746-0.015062j)  (-0.013410-0.009658j)  (-0.007088+0.016355j)  (0.005911+0.062468j)  (0.012881-0.069997j)  (-0.010285-0.000234j)  (0.002028-0.006730j)  (0.007410-0.005082j)  (-0.952747-0.026846j)  (-0.002639+0.003346j)  (-0.005728-0.001493j)  (0.000639-0.012890j)  (-0.017225-0.011919j)  (-0.017374+0.004140j)  (0.009723+0.004180j)  (0.014273+0.016207j)  (0.006137-0.002151j)  (0.022232-0.007661j)  (0.000741-0.080358j)  (-0.009215-0.004998j)  (-0.003661-0.001501j)  (-0.009409+0.005797j)  (-0.004251+0.016611j)  (0.026207-0.015651j)  (0.002389+0.007780j)  (0.001839+0.002289j)  (-0.001861-0.001144j)  (0.003522+0.002562j)  (0.018697+0.014489j)  (-0.008274-0.092125j)  (0.014031-0.018910j)  (0.006906-0.007356j)  (0.018256-0.003733j)  (0.032584+0.010117j)  (0.037032-0.072180j)  (-0.005816-0.011337j)  (0.005819-0.006697j)  (-0.005008+0.013287j)  (-0.038810-0.044385j)  (0.011729-0.006937j)  (0.050359-0.081707j)  (-0.021625-0.031460j)  (0.004463+0.000643j)  (-0.013327+0.000762j)  (-0.022345-0.019352j)  (-0.016513-0.019304j)  (0.019925+0.017041j)  (-0.023041-0.072506j)  (-0.013985+0.006091j)  (0.016722-0.054361j)  (0.009166+0.024128j)  (-0.038267-0.065543j)  (-0.005125+0.004034j)  (-0.000413+0.009662j)  (-0.024396+0.039199j)  (-0.029801-0.096921j)  (0.031546-0.001003j)  (-0.041905+0.043679j)  (0.019767+0.021821j)  (-0.007126+0.000245j)  (0.024165-0.035302j)  (-0.007759+0.002041j)  (0.008130-0.012660j)  (-0.003731-0.014597j)
 (-0.000123+0.000263j)  (-0.004341+0.002393j)  (0.009913-0.001488j)  (0.016134+0.007117j)  (-0.008464-0.006154j)  (0.003348-0.000790j)  (0.003786+0.006472j)  (-0.000739-0.001928j)  (-0.004232+0.001979j)  (-0.969615+0.008101j)  (-0.016010-0.089359j)  (0.008407+0.004470j)  (0.006276-0.000326j)  (0.000883-0.005051j)  (-0.001517+0.010711j)  (-0.004453+0.006281j)  (0.010338+0.008989j)  (-0.007290+0.014793j)  (-0.007946-0.061858j)  (-0.012456-0.007728j)  (-0.008522+0.000347j)  (-0.011844-0.009025j)  (-0.006212+0.001650j)  (-0.018612+0.063368j)  (0.020260-0.005816j)  (-0.006592-0.004161j)  (-0.018575+0.000065j)  (-0.000875+0.007473j)  (0.008765-0.005937j)  (-0.014283+0.000655j)  (-0.000573+0.009262j)  (0.001241+0.003283j)  (0.002300-0.008334j)  (-0.005674+0.011256j)  (-0.004772+0.009597j)  (0.004100+0.058316j)  (-0.003868+0.006457j)  (0.008550+0.009925j)  (-0.002570+0.065232j)  (-0.007058+0.002366j)  (-0.017519-0.004626j)  (0.019887+0.001208j)  (-0.028656-0.044826j)  (-0.003744-0.013650j)  (0.018597-0.017971j)  (-0.010133-0.005135j)  (-0.000761-0.002692j)  (0.001960-0.043230j)  (0.010666-0.022859j)  (-0.009927+0.013229j)  (-0.008324+0.013532j)  (0.000563+0.008585j)  (-0.003602-0.001512j)  (0.018274+0.065587j)  (0.005093-0.020002j)  (0.050114+0.040046j)  (0.002960-0.008389j)  (0.006220+0.009162j)  (-0.013759-0.054999j)  (0.016054+0.091412j)  (0.008442+0.002180j)  (-0.012531-0.048074j)  (-0.008357+0.002577j)  (-0.000038+0.012581j)
 (-0.027655+0.022398j)  (-0.006203-0.005088j)  (-0.012887+0.006887j)  (0.013086+0.064346j)  (0.008668+0.001870j)  (0.018012+0.088508j)  (-0.004318-0.004301j)  (-0.009773+0.003780j)  (0.005554-0.001834j)  (0.020070-0.082038j)  (-0.971357+0.021834j)  (-0.004254-0.007963j)  (0.012544-0.004525j)  (-0.016821-0.014742j)  (0.005127-0.000743j)  (0.008896+0.002550j)  (0.000454-0.005677j)  (-0.010610+0.015298j)  (0.003785+0.000026j)  (0.009145-0.004737j)  (0.012707+0.000933j)  (0.012053-0.006583j)  (0.005564+0.004989j)  (-0.011068+0.001962j)  (0.015417+0.007125j)  (0.011026-0.013015j)  (0.001575+0.006005j)  (0.007641+0.004399j)  (-0.019831+0.020132j)  (0.009453+0.001113j)  (0.005570-0.009914j)  (-0.019768+0.016842j)  (-0.003499+0.005173j)  (-0.011051+0.046837j)  (-0.000848+0.071256j)  (-0.016928-0.007798j)  (-0.005523-0.009643j)  (0.028586+0.054264j)  (-0.014732+0.007712j)  (0.002095+0.039622j)  (-0.003659-0.002451j)  (-0.003496+0.020545j)  (0.022307+0.005455j)  (-0.005379-0.004254j)  (0.013800-0.076685j)  (0.000384-0.015611j)  (-0.016174+0.002638j)  (0.001594-0.005531j)  (0.012889-0.001631j)  (-0.007981-0.003442j)  (-0.016739+0.003648j)  (-0.015185+0.045552j)  (0.010181-0.000970j)  (0.015959+0.051360j)  (-0.005247+0.001834j)  (-0.017150+0.000214j)  (0.012664+0.002111j)  (-0.009794+0.011450j)  (0.006051-0.020682j)  (-0.014992+0.002219j)  (-0.002704-0.007639j)  (0.007466+0.036494j)  (-0.012086-0.003751j)  (-0.015399+0.005123j)
