 (-0.944615-0.006545j)  (0.030773-0.003998j)  (-0.036190-0.000337j)  (-0.022526-0.009373j)  (-0.022559-0.006636j)  (-0.035888-0.005574j)  (-0.008390+0.008541j)  (-0.043083-0.016376j)  (0.010659-0.005678j)  (-0.016647+0.002080j)  (-0.028073+0.007917j)  (0.053374-0.013970j)  (-0.123274+0.055163j)  (0.003289+0.017698j)  (0.043988+0.004432j)  (0.060690+0.114357j)  (0.012675-0.000688j)  (0.000945-0.011970j)  (0.031542-0.018234j)  (0.009982+0.023325j)  (-0.023349+0.013463j)  (0.008517+0.053021j)  (0.004600-0.017236j)  (0.001143-0.004081j)  (-0.011901-0.010249j)  (0.001591-0.005828j)  (0.001198+0.082786j)  (0.001311+0.004341j)  (0.028011+0.028796j)  (-0.009015+0.003122j)  (0.029648-0.009926j)  (0.004415-0.022120j)  (0.009902-0.002767j)  (-0.022369+0.041380j)  (0.017868-0.002880j)  (0.010021+0.016716j)  (0.003690+0.007399j)  (-0.015185-0.077357j)  (-0.003914+0.003618j)  (-0.027971-0.001810j)  (-0.003649+0.011932j)  (0.006663-0.006468j)  (-0.004628+0.013166j)  (0.015991+0.002235j)  (0.017500-0.011422j)  (-0.015951+0.063772j)  (0.016742+0.015196j)  (0.006243-0.009912j)  (0.022792-0.054232j)  (-0.032712+0.000454j)  (0.027768-0.010847j)  (0.020452+0.046071j)  (-0.003045-0.082785j)  (-0.009518-0.059515j)  (0.039817+0.050668j)  (0.003531+0.008913j)  (-0.012402+0.038566j)  (0.001781-0.016556j)  (0.008215+0.011804j)  (-0.007616+0.011161j)  (-0.019555+0.007557j)  (-0.020377+0.005422j)  (0.012898-0.005316j)  (-0.005929-0.011419j)
 (-0.005040-0.004628j)  (-0.947372-0.007391j)  (-0.010865-0.001878j)  (0.030892-0.001773j)  (-0.027120+0.015356j)  (0.003213+0.000066j)  (0.020665+0.019548j)  (-0.033915-0.028893j)  (-0.010865-0.005909j)  (0.016486-0.012253j)  (-0.006773-0.011277j)  (-0.018915+0.011227j)  (-0.019545-0.000493j)  (-0.002584-0.009720j)  (0.000160+0.004631j)  (0.012281+0.012854j)  (0.027809-0.001933j)  (-0.021603+0.075765j)  (0.010616+0.000080j)  (-0.009039-0.010318j)  (0.006504+0.009633j)  (0.001062+0.065139j)  (0.000776-0.007799j)  (-0.008023+0.016392j)  (0.007163+0.001533j)  (-0.011743-0.127540j)  (0.001399+0.010999j)  (-0.010327-0.008499j)  (-0.002383+0.018829j)  (0.010254+0.009365j)  (0.024676-0.027292j)  (0.004116-0.078336j)  (0.015415+0.017812j)  (0.005351+0.045710j)  (-0.008832-0.015051j)  (0.019161-0.002922j)  (-0.023875+0.005393j)  (0.014228-0.019301j)  (-0.020344-0.075585j)  (0.021867+0.006835j)  (-0.007825-0.029105j)  (-0.002271+0.000236j)  (0.001813-0.007817j)  (-0.005338+0.000066j)  (0.016932+0.000859j)  (-0.019485+0.011458j)  (0.002076-0.044769j)  (0.009649+0.017200j)  (0.006809-0.038179j)  (-0.009688+0.022176j)  (-0.014421+0.011117j)  (-0.000828-0.000827j)  (-0.028564-0.097272j)  (-0.023464-0.035633j)  (-0.025207-0.007672j)  (-0.015566+0.052885j)  (-0.006007+0.002150j)  (0.007005+0.076083j)  (-0.008458+0.000658j)  (0.041286+0.098934j)  (0.012871-0.017926j)  (0.002408-0.044621j)  (-0.017724+0.004760j)  (0.008853+0.067986j)
 (0.034488+0.000208j)  (-0.001925-0.003107j)  (-0.964203-0.000969j)  (0.011506+0.007732j)  (-0.007306+0.007096j)  (0.013405-0.004143j)  (0.008934-0.009220j)  (0.023079+0.005376j)  (0.024753-0.023787j)  (0.002372+0.008023j)  (0.007145+0.008194j)  (0.000932+0.069820j)  (0.028255+0.004836j)  (0.001400+0.023186j)  (0.026434+0.010459j)  (-0.024005+0.010376j)  (0.006493+0.004720j)  (-0.037723-0.029090j)  (0.000270-0.002149j)  (0.009786+0.000844j)  (-0.002048+0.000470j)  (0.005371-0.003598j)  (-0.007458+0.025712j)  (0.019444+0.002173j)  (-0.002334+0.007599j)  (0.017384+0.004830j)  (-0.035023+0.112217j)  (-0.004491-0.001608j)  (0.010961-0.014048j)  (-0.004915+0.003745j)  (0.006343-0.030836j)  (-0.024764+0.043839j)  (0.014997-0.010903j)  (-0.010566-0.018077j)  (0.023512+0.002761j)  (0.003228+0.004652j)  (-0.007157+0.005916j)  (0.001769+0.018152j)  (0.002650+0.019317j)  (0.026541+0.095535j)  (0.012074-0.004893j)  (0.010753-0.014152j)  (-0.002002-0.008533j)  (-0.003897-0.007263j)  (0.052405-0.041119j)  (-0.018350+0.032713j)  (-0.028120+0.004308j)  (-0.013115+0.009081j)  (-0.011120+0.005719j)  (-0.003389+0.010589j)  (-0.001499+0.002296j)  (0.001907+0.002138j)  (-0.007624+0.107810j)  (-0.014870-0.012924j)  (0.024004-0.011014j)  (0.012693+0.050603j)  (-0.007460+0.006447j)  (0.009796+0.009447j)  (0.011717+0.009376j)  (-0.003666-0.004740j)  (-0.017041-0.007960j)  (0.026849+0.001530j)  (0.004248+0.007498j)  (-0.007115+0.005359j)
 (0.010333+0.000516j)  (-0.007994-0.001966j)  (-0.011053+0.004308j)  (-0.954500+0.023781j)  (-0.006559+0.007909j)  (0.010678-0.006368j)  (0.028322+0.006472j)  (0.013470+0.016185j)  (0.006534+0.015410j)  (-0.002239-0.003453j)  (0.007248-0.018857j)  (-0.012189+0.000967j)  (0.018371-0.065490j)  (-0.018185-0.071452j)  (0.005229+0.013314j)  (0.015201-0.008728j)  (0.019378-0.002112j)  (-0.004570+0.008480j)  (0.026989-0.067636j)  (0.011320-0.009610j)  (0.009002+0.010038j)  (-0.000009-0.000712j)  (0.003603+0.005566j)  (0.014905+0.000301j)  (0.016319+0.005270j)  (-0.008969-0.021164j)  (-0.010393-0.017536j)  (0.002414+0.007540j)  (-0.036081+0.074719j)  (-0.016130-0.014530j)  (-0.001131-0.008518j)  (-0.002721-0.070855j)  (-0.008205+0.009744j)  (-0.004957+0.023347j)  (-0.002512+0.013668j)  (-0.010453-0.003266j)  (-0.007463-0.011628j)  (0.003804-0.007824j)  (0.002199+0.007407j)  (0.042736+0.065850j)  (0.026738-0.005668j)  (-0.005605-0.001952j)  (-0.003317-0.031771j)  (0.019072+0.047626j)  (-0.017870+0.003591j)  (-0.000461+0.004619j)  (-0.009038-0.005845j)  (0.007327-0.039403j)  (0.021350+0.068488j)  (0.002899+0.003422j)  (0.017170+0.068923j)  (-0.001835+0.026198j)  (-0.002571-0.003613j)  (0.003330-0.003626j)  (0.004484-0.024172j)  (-0.008821+0.004947j)  (0.007075-0.001134j)  (0.005157+0.004614j)  (0.031334-0.037293j)  (-0.009535-0.004298j)  (0.012846+0.053280j)  (-0.008194-0.064882j)  (-0.018048+0.079727j)  (0.038950+0.105406j)
 (0.012463-0.018545j)  (0.002425+0.015113j)  (-0.013439+0.014018j)  (0.009716+0.006765j)  (-0.937645+0.004328j)  (0.036877-0.013741j)  (0.018275-0.030735j)  (-0.023676-0.008096j)  (-0.008964+0.138692j)  (-0.014940-0.001522j)  (-0.024450-0.003364j)  (-0.001739-0.087666j)  (-0.007687-0.004999j)  (0.022590-0.026508j)  (0.011094-0.000593j)  (0.026858-0.008253j)  (-0.007635+0.003966j)  (-0.003753+0.014044j)  (0.037495-0.001258j)  (-0.000829+0.001465j)  (-0.048079+0.030308j)  (0.000866-0.015965j)  (0.000385-0.037368j)  (0.014170-0.000941j)  (-0.008849+0.001775j)  (0.012491+0.059730j)  (-0.002406-0.092389j)  (0.002321+0.002821j)  (0.018509-0.007672j)  (0.000758+0.002836j)  (0.007751+0.003274j)  (0.006313+0.038752j)  (-0.003991+0.008593j)  (-0.012487+0.047365j)  (0.031351-0.005220j)  (0.003746+0.006078j)  (0.005423-0.101161j)  (-0.010917+0.073870j)  (0.010045+0.004008j)  (0.012409-0.002784j)  (0.027101+0.109709j)  (-0.015230+0.002608j)  (-0.022851+0.004075j)  (-0.032839-0.050381j)  (-0.006134-0.012222j)  (0.015138+0.010710j)  (0.015041+0.016768j)  (0.006625-0.093983j)  (0.013304+0.011882j)  (-0.029426+0.011601j)  (-0.015767+0.018522j)  (0.001924+0.003220j)  (-0.022011+0.003216j)  (-0.001902+0.010296j)  (-0.015854-0.031031j)  (0.007582-0.000996j)  (-0.000945-0.008382j)  (-0.015758+0.006934j)  (-0.020809+0.016659j)  (0.008765-0.074446j)  (0.066532-0.038167j)  (-0.021369-0.002646j)  (0.031169-0.000010j)  (0.001334-0.017918j)
 (0.034466+0.004967j)  (-0.003487-0.006188j)  (-0.015638-0.002223j)  (0.002399-0.004645j)  (-0.019301-0.008431j)  (-0.946764+0.008714j)  (-0.004861+0.010713j)  (0.002230+0.007640j)  (0.021958+0.014518j)  (-0.014996-0.010677j)  (-0.001003+0.004242j)  (-0.012728-0.004633j)  (-0.024825-0.105734j)  (0.029621-0.005374j)  (0.010958-0.003295j)  (-0.012028-0.065757j)  (-0.021117+0.000864j)  (-0.001944+0.001793j)  (0.013057-0.007325j)  (0.000529-0.011515j)  (-0.003157+0.007087j)  (0.017427+0.000473j)  (0.028312-0.003082j)  (-0.001743-0.001588j)  (0.004090-0.070093j)  (-0.006582-0.009703j)  (0.021764-0.021914j)  (0.038992+0.000370j)  (0.009072+0.073911j)  (0.007205+0.002048j)  (-0.023004-0.078846j)  (-0.002590-0.010232j)  (0.026513-0.009046j)  (-0.015405-0.003767j)  (0.024963-0.004576j)  (0.009001+0.013274j)  (0.021230-0.018843j)  (-0.009726+0.011854j)  (-0.000237+0.000860j)  (-0.001918-0.005014j)  (-0.005146+0.012178j)  (-0.001477+0.006511j)  (-0.018133+0.003920j)  (-0.014982-0.011029j)  (0.022875-0.007970j)  (0.002045+0.015069j)  (-0.001524+0.002736j)  (0.024902-0.095392j)  (-0.004913+0.010982j)  (-0.007779-0.002272j)  (-0.008872-0.005125j)  (-0.010236-0.016603j)  (-0.004559+0.005360j)  (0.016703+0.036976j)  (-0.007853+0.115791j)  (0.003551+0.073303j)  (-0.014550-0.000147j)  (-0.022079-0.083345j)  (0.000415-0.005959j)  (0.009188-0.002294j)  (0.007349+0.012142j)  (-0.028976+0.012377j)  (-0.019680-0.100811j)  (-0.022263+0.071597j)
 (0.013024+0.003212j)  (-0.008015+0.013897j)  (-0.011724-0.008677j)  (-0.012773+0.009751j)  (-0.016161-0.016641j)  (0.000465+0.009243j)  (-0.972453+0.025151j)  (0.006863+0.003119j)  (-0.006969-0.002749j)  (0.017603-0.009602j)  (0.030918-0.027649j)  (0.001527-0.013423j)  (-0.016668+0.000905j)  (0.007932-0.088107j)  (-0.004448-0.000385j)  (0.011316+0.007319j)  (0.004765+0.000792j)  (0.001692+0.008529j)  (-0.003207+0.008126j)  (-0.004868+0.004327j)  (-0.012688+0.013952j)  (-0.002922+0.049841j)  (-0.013213+0.006219j)  (0.036188-0.000166j)  (-0.006359-0.000668j)  (-0.016946-0.003303j)  (0.029349+0.001521j)  (-0.004314-0.062994j)  (0.000765+0.003713j)  (-0.001114+0.005553j)  (0.008531-0.064770j)  (-0.008709-0.005833j)  (-0.002368+0.001745j)  (0.000685-0.006178j)  (0.005809+0.007148j)  (-0.013455-0.033432j)  (0.005079-0.056093j)  (-0.013521+0.003068j)  (-0.004548-0.006028j)  (0.000434-0.001894j)  (0.012038+0.005245j)  (-0.001516-0.008906j)  (0.020877-0.003195j)  (0.008184+0.000314j)  (0.024962+0.046188j)  (0.008267-0.032684j)  (-0.006136+0.001982j)  (0.009308+0.002622j)  (-0.005233-0.012679j)  (0.000227-0.007480j)  (-0.001250-0.035934j)  (-0.000854+0.003517j)  (-0.007037-0.001660j)  (-0.021042-0.030641j)  (0.003648+0.000378j)  (0.003651+0.001676j)  (0.000485+0.005721j)  (0.008238+0.006042j)  (-0.023565+0.012000j)  (0.019933-0.013310j)  (-0.030384+0.037183j)  (0.028685-0.071334j)  (-0.000464+0.064745j)  (0.027046-0.005229j)
 (0.020320+0.002049j)  (0.038964-0.022618j)  (-0.015497-0.000254j)  (-0.002566+0.016463j)  (0.012524-0.009240j)  (0.010483+0.007543j)  (-0.007111+0.004099j)  (-0.960216-0.024124j)  (-0.001348+0.032481j)  (0.017506+0.014079j)  (0.042467+0.068421j)  (-0.023442+0.009092j)  (0.012224-0.087912j)  (-0.001519-0.000294j)  (0.002887+0.010746j)  (-0.024389-0.005225j)  (-0.002027-0.019921j)  (-0.000596+0.006876j)  (0.013272-0.008325j)  (-0.026697-0.012347j)  (0.021158-0.005329j)  (-0.007672+0.002783j)  (0.012985-0.001441j)  (0.012898-0.000112j)  (0.016597+0.004773j)  (0.018295-0.075739j)  (-0.001170-0.006972j)  (-0.018578-0.012459j)  (0.004061-0.003637j)  (-0.016816-0.002505j)  (-0.006470+0.013379j)  (0.004992+0.016478j)  (-0.010249-0.004459j)  (-0.007271-0.006024j)  (-0.015465+0.071816j)  (-0.013593-0.033436j)  (0.034377-0.016630j)  (0.014448-0.006498j)  (0.004530-0.001328j)  (0.018908-0.001626j)  (-0.009895-0.017226j)  (0.001966+0.000245j)  (0.018192-0.002449j)  (-0.016345+0.095677j)  (0.027974-0.062290j)  (-0.016057-0.062221j)  (-0.004367+0.012484j)  (-0.004887+0.007111j)  (0.003858-0.012069j)  (-0.009456+0.003515j)  (-0.007711-0.001568j)  (-0.012889-0.012676j)  (0.003938+0.061410j)  (-0.022771+0.028917j)  (0.019475+0.024807j)  (0.010622+0.001376j)  (-0.019689-0.073048j)  (-0.010330+0.003238j)  (-0.021273-0.041608j)  (-0.002780+0.046611j)  (0.018580+0.018253j)  (-0.015162-0.008142j)  (-0.003504-0.005070j)  (0.004854-0.010758j)
 (0.008882+0.004176j)  (0.008905-0.010503j)  (-0.008049-0.015679j)  (0.015552+0.011507j)  (-0.000939+0.147094j)  (-0.010833+0.006722j)  (0.005909-0.005252j)  (-0.010953+0.017177j)  (-0.930660-0.048462j)  (-0.002365-0.012837j)  (-0.002610-0.100920j)  (0.000306+0.019595j)  (-0.024613-0.007322j)  (0.028033+0.010629j)  (-0.021797+0.098318j)  (0.025986+0.012567j)  (-0.031093+0.046889j)  (-0.033449-0.009497j)  (0.019511-0.021614j)  (-0.013713+0.047326j)  (0.026954-0.025061j)  (0.036892-0.000465j)  (0.000527-0.005089j)  (-0.020458+0.016856j)  (-0.004653-0.007751j)  (0.004970-0.001672j)  (0.002534+0.023179j)  (0.001913+0.006511j)  (0.000211+0.064539j)  (-0.035010-0.007575j)  (0.015584+0.001083j)  (-0.014772-0.000264j)  (0.003817-0.010280j)  (-0.008914-0.023377j)  (0.034844+0.105514j)  (-0.013732+0.010722j)  (-0.029247+0.063463j)  (0.010788-0.003708j)  (-0.001377+0.097797j)  (0.008012+0.072532j)  (0.037231+0.010473j)  (0.040012-0.055704j)  (0.000317+0.012469j)  (0.025984-0.000998j)  (0.003996-0.002257j)  (-0.023094+0.024031j)  (0.036626-0.003598j)  (-0.020201-0.035128j)  (0.013776-0.003602j)  (-0.015238-0.031884j)  (-0.000614-0.024378j)  (0.007457+0.025202j)  (0.004638-0.029318j)  (0.003828+0.001184j)  (0.015263+0.001302j)  (-0.015193-0.003020j)  (-0.003255-0.011309j)  (-0.025098-0.064497j)  (-0.014821+0.037055j)  (0.023942-0.033461j)  (-0.007096-0.066701j)  (-0.004424-0.042376j)  (-0.015744+0.021697j)  (0.031238+0.049983j)
 (0.009296-0.000805j)  (-0.002693-0.001748j)  (-0.006599+0.001874j)  (0.000432-0.005127j)  (0.004714-0.004719j)  (0.004696-0.005206j)  (-0.015586-0.000769j)  (-0.010877+0.015544j)  (-0.005759-0.009797j)  (-0.974293+0.019856j)  (0.015251+0.003278j)  (0.014986-0.004630j)  (0.007237-0.017814j)  (0.002181+0.007225j)  (-0.000236-0.016914j)  (-0.023765-0.058780j)  (-0.004871+0.000681j)  (-0.041226+0.007531j)  (-0.022036-0.042789j)  (0.011765-0.016772j)  (0.017041+0.003007j)  (-0.025048+0.010001j)  (-0.008806-0.004926j)  (-0.004323-0.002539j)  (0.005033+0.084290j)  (-0.004151-0.009974j)  (0.001546-0.026949j)  (-0.000981+0.001982j)  (-0.016401-0.001257j)  (0.002044-0.003536j)  (0.001038+0.027654j)  (0.006283-0.008233j)  (0.017299-0.016889j)  (0.004874+0.042333j)  (-0.005132-0.002131j)  (-0.000666-0.058453j)  (-0.000198-0.007266j)  (0.015990-0.009965j)  (0.001923-0.007524j)  (0.015593+0.005254j)  (0.012686+0.002249j)  (0.004975+0.010459j)  (0.010511-0.003466j)  (0.006580+0.004491j)  (0.000984+0.003441j)  (0.028090+0.053266j)  (0.019496+0.004678j)  (0.017912+0.072245j)  (0.008480-0.009345j)  (-0.016267-0.004921j)  (0.004229-0.063879j)  (-0.023443-0.004060j)  (0.006279-0.007796j)  (0.006710-0.010885j)  (-0.014501+0.015862j)  (-0.011275-0.004464j)  (0.005494-0.003608j)  (0.012830+0.007791j)  (-0.034280+0.013818j)  (0.001065+0.064230j)  (0.012707-0.004392j)  (0.023547-0.008880j)  (0.004133+0.007578j)  (0.001032-0.006197j)
 (0.009599-0.008003j)  (0.008548-0.014003j)  (-0.004201+0.003622j)  (-0.001788-0.015251j)  (0.015245-0.006298j)  (0.002030+0.000554j)  (-0.021238-0.008995j)  (-0.037919+0.071659j)  (0.018452-0.102757j)  (0.000440+0.006355j)  (-0.938445-0.023016j)  (0.065150-0.003697j)  (0.005892-0.007780j)  (0.025198-0.047382j)  (-0.017072-0.020076j)  (0.009825-0.092933j)  (0.007410-0.011246j)  (-0.017238+0.001704j)  (-0.001531-0.015775j)  (-0.011179-0.009613j)  (-0.019086-0.005126j)  (-0.036854-0.110100j)  (0.012021-0.011465j)  (0.024098+0.108254j)  (0.010905+0.007769j)  (0.001261-0.018518j)  (0.000294+0.027876j)  (0.000922-0.004294j)  (-0.016967-0.006359j)  (-0.008263+0.019843j)  (0.002349-0.072865j)  (0.011315-0.006926j)  (-0.018984-0.002979j)  (0.021890+0.072027j)  (-0.032225+0.050648j)  (-0.006991-0.014512j)  (-0.036958-0.003809j)  (-0.021268+0.061949j)  (0.003997+0.022543j)  (0.007426+0.027529j)  (-0.014391-0.016418j)  (0.034974+0.004702j)  (-0.003489+0.086874j)  (-0.003534+0.016221j)  (-0.030481-0.005061j)  (0.008927-0.020106j)  (-0.014475-0.004027j)  (0.009863+0.020755j)  (0.011377-0.010573j)  (0.007736-0.008928j)  (0.010158-0.018597j)  (-0.003288-0.000120j)  (-0.030036-0.018913j)  (0.017648+0.012879j)  (0.002054+0.004194j)  (0.002631+0.003236j)  (-0.024379-0.028347j)  (-0.014221+0.004121j)  (0.015206-0.040828j)  (0.014228+0.004676j)  (0.033308-0.039271j)  (0.051761-0.067546j)  (-0.027401+0.004669j)  (0.010837-0.048194j)
