 (-0.940701+0.010470j)  (0.005112+0.026625j)  (-0.025615+0.020103j)  (0.013406-0.004432j)  (-0.009768-0.004446j)  (0.006177-0.017971j)  (-0.034661+0.014031j)  (-0.020019-0.008733j)  (0.020949+0.003030j)  (-0.002391+0.034277j)  (0.047518-0.121452j)  (-0.001615+0.008671j)  (-0.008306-0.045380j)  (-0.023677-0.005047j)  (0.039279+0.062609j)  (-0.006376-0.016192j)  (-0.024899+0.008248j)  (0.004422+0.015957j)  (-0.004601+0.027832j)  (0.004058+0.013625j)  (0.022164+0.128851j)  (-0.008987+0.086878j)  (0.000049-0.018770j)  (-0.020972-0.004325j)  (0.003099+0.005472j)  (-0.004922-0.010721j)  (-0.013105+0.060973j)  (-0.020396-0.010095j)  (-0.017694+0.005674j)  (0.007973+0.005381j)  (-0.015333-0.063700j)  (-0.003275-0.013547j)  (-0.015442+0.001201j)  (-0.026289+0.048398j)  (-0.027708+0.010432j)  (0.009759-0.002670j)  (-0.014092-0.006312j)  (-0.012812-0.002686j)  (-0.003042+0.003832j)  (-0.019350-0.002563j)  (-0.007822+0.003797j)  (-0.010156+0.009014j)  (-0.011915+0.038494j)  (-0.014033-0.027984j)  (-0.001083+0.005399j)  (0.000920+0.012849j)  (0.000701+0.030890j)  (0.017587+0.020129j)  (-0.007236+0.033693j)  (-0.008772-0.005266j)  (-0.000752+0.000214j)  (0.016866+0.015907j)  (0.006822-0.019487j)  (-0.054510+0.075189j)  (-0.017673-0.101764j)  (0.023212-0.001833j)  (0.012037+0.041472j)  (0.015870-0.007814j)  (-0.033943-0.030190j)  (-0.014544+0.024909j)  (-0.035503+0.044751j)  (-0.010051-0.001821j)  (-0.019528+0.065324j)  (-0.020292+0.032227j)
 (0.006584+0.021365j)  (-0.934935+0.012169j)  (-0.025088+0.003188j)  (0.010254+0.005996j)  (-0.009036+0.012460j)  (0.015049+0.003734j)  (0.014065+0.001175j)  (0.006418+0.009616j)  (-0.052372+0.020798j)  (-0.007615+0.016736j)  (-0.044835-0.002243j)  (0.005017+0.076418j)  (0.003498+0.003568j)  (-0.003033-0.007963j)  (0.021876+0.002987j)  (-0.017504-0.003683j)  (-0.037133-0.079564j)  (0.001135-0.075373j)  (0.020243+0.016584j)  (0.000674+0.007277j)  (-0.010292+0.004696j)  (0.010519+0.009889j)  (0.000692+0.005571j)  (-0.014334-0.010534j)  (0.024026-0.016937j)  (-0.011896+0.032704j)  (0.038930+0.073751j)  (0.003074+0.028619j)  (0.015810+0.002466j)  (-0.007935-0.097842j)  (0.007186-0.000527j)  (0.001262-0.006298j)  (-0.017316+0.003585j)  (-0.012030-0.045332j)  (0.018109+0.010865j)  (-0.000526+0.017545j)  (0.002169-0.006918j)  (0.040827-0.069249j)  (0.001643-0.107403j)  (-0.014885+0.015035j)  (0.013386+0.000178j)  (-0.064262-0.023511j)  (-0.052719+0.053768j)  (-0.004564-0.002754j)  (0.019887+0.059932j)  (-0.027924+0.010029j)  (-0.038765+0.095228j)  (-0.011212-0.003101j)  (-0.006194+0.002784j)  (-0.017678-0.036038j)  (-0.002994-0.091476j)  (-0.005570-0.018810j)  (0.028727-0.070434j)  (0.010206+0.005693j)  (-0.016037+0.021047j)  (-0.000523+0.054960j)  (-0.014213+0.006674j)  (0.018583-0.003311j)  (-0.000688-0.009778j)  (-0.009726-0.034192j)  (-0.019433+0.022130j)  (-0.008158+0.003501j)  (0.007082+0.007899j)  (0.020366+0.072807j)
 (0.018758+0.013427j)  (0.032925+0.000218j)  (-0.964823+0.004259j)  (0.016946-0.003125j)  (0.026275-0.017972j)  (-0.007470+0.002696j)  (0.032987+0.004435j)  (0.009088-0.002791j)  (-0.031821-0.017119j)  (0.006837-0.009282j)  (-0.003363+0.009280j)  (0.050908+0.094964j)  (0.010952+0.005928j)  (0.011745+0.003423j)  (-0.007521+0.004140j)  (0.000447-0.106006j)  (0.012378-0.000925j)  (-0.027480+0.004901j)  (-0.017840-0.006289j)  (-0.004921-0.001418j)  (-0.001184-0.015062j)  (-0.002186-0.016446j)  (-0.029824+0.013641j)  (0.000560-0.003138j)  (0.034199-0.076480j)  (0.002517+0.004623j)  (0.006214+0.003081j)  (0.012559+0.008275j)  (0.000494-0.030180j)  (0.014150-0.008564j)  (-0.026365-0.005609j)  (-0.047824-0.078040j)  (-0.002761-0.010525j)  (-0.001110+0.014502j)  (0.007605+0.003274j)  (0.014882-0.002603j)  (0.006222+0.010129j)  (0.006494+0.005767j)  (-0.004760-0.003267j)  (-0.029004+0.073011j)  (0.003186-0.001348j)  (-0.004432-0.012571j)  (-0.012334-0.017970j)  (-0.008650+0.003933j)  (-0.008154-0.030960j)  (-0.013956-0.008447j)  (0.004797-0.013590j)  (0.019853-0.005966j)  (0.006805-0.012103j)  (-0.006003+0.052224j)  (0.025362+0.001244j)  (0.009941+0.001533j)  (-0.015672+0.007473j)  (0.012931-0.009480j)  (-0.003519+0.000737j)  (0.018397-0.008017j)  (0.015785+0.004154j)  (-0.013744+0.001792j)  (0.026998-0.035594j)  (-0.003188-0.000718j)  (0.021687-0.000129j)  (0.045263+0.008644j)  (0.008962+0.001039j)  (0.001349+0.009114j)
 (-0.003420-0.013538j)  (-0.003339+0.002087j)  (-0.010431-0.004158j)  (-0.962447+0.013117j)  (-0.022476-0.003391j)  (-0.005887-0.010076j)  (-0.000431+0.017751j)  (-0.014122+0.008176j)  (-0.008269-0.071906j)  (-0.009760+0.015780j)  (-0.013603+0.005800j)  (-0.002816-0.004207j)  (0.005950-0.005648j)  (0.006421+0.029468j)  (0.000102+0.011743j)  (-0.001637-0.014064j)  (-0.008338+0.012836j)  (-0.025988+0.000085j)  (-0.025571-0.098908j)  (-0.001343-0.009239j)  (0.039853+0.054177j)  (-0.021011+0.011910j)  (-0.009006+0.009819j)  (-0.009460+0.010928j)  (0.006225-0.010417j)  (0.010989+0.094672j)  (-0.028214+0.008377j)  (-0.035152-0.007439j)  (0.001751-0.005326j)  (-0.004972-0.007400j)  (-0.006610+0.025090j)  (0.004919+0.001531j)  (0.000743-0.008211j)  (-0.019700-0.019564j)  (0.009684+0.017798j)  (0.002906+0.000574j)  (0.001721+0.054072j)  (0.003593+0.013327j)  (0.010042-0.000067j)  (0.003128+0.061877j)  (0.009467-0.008926j)  (0.019194+0.016820j)  (-0.004080+0.061708j)  (0.025455+0.003665j)  (0.018043+0.008467j)  (-0.023554+0.001345j)  (-0.006514-0.003683j)  (0.012047-0.054877j)  (-0.016578-0.005850j)  (0.006366+0.003244j)  (-0.007536-0.029165j)  (-0.010270+0.018388j)  (-0.006496-0.004340j)  (-0.003695-0.002835j)  (0.014672-0.001740j)  (-0.022593+0.007425j)  (0.009631-0.002575j)  (-0.016379-0.011132j)  (0.007095-0.007506j)  (0.001996+0.008461j)  (-0.010512+0.041446j)  (-0.013382-0.069674j)  (0.043968+0.067493j)  (0.028575-0.021873j)
 (0.003965-0.007265j)  (0.019237+0.002592j)  (-0.030762+0.000686j)  (0.007336+0.011837j)  (-0.942115+0.006474j)  (0.061685+0.036899j)  (0.001253+0.011371j)  (-0.040886+0.072443j)  (0.044581+0.118494j)  (-0.006523-0.016437j)  (0.025233-0.014432j)  (-0.086127-0.008320j)  (0.014254-0.004141j)  (-0.027238+0.075424j)  (0.007963-0.009341j)  (-0.006760-0.013453j)  (-0.024109-0.059309j)  (0.005304-0.015158j)  (0.019163-0.034234j)  (-0.011814+0.006780j)  (-0.000368+0.009974j)  (-0.019911-0.002924j)  (-0.001808-0.028637j)  (-0.007582+0.000575j)  (0.042950-0.000666j)  (-0.006737+0.002354j)  (0.030235-0.039505j)  (0.007061-0.011419j)  (0.051774-0.038935j)  (0.006541+0.009317j)  (-0.006452+0.001816j)  (0.000717-0.109706j)  (0.002633-0.010344j)  (0.039295+0.007457j)  (0.010973-0.008997j)  (0.003776-0.007165j)  (-0.009844-0.042234j)  (-0.033667-0.009201j)  (-0.009458-0.010930j)  (0.004091-0.059206j)  (0.006789-0.032104j)  (-0.038406+0.064924j)  (-0.005687-0.001063j)  (0.002055+0.025941j)  (0.004775+0.061997j)  (0.011673-0.010983j)  (-0.019603-0.001714j)  (0.012929+0.028233j)  (0.000294-0.011049j)  (0.003166-0.001920j)  (-0.020976+0.010763j)  (-0.005585-0.012265j)  (0.011019+0.013944j)  (0.011421+0.018633j)  (-0.008925+0.076071j)  (0.015347-0.015235j)  (0.003754-0.005033j)  (-0.006693-0.008746j)  (-0.014871+0.014146j)  (0.056633-0.042183j)  (0.011964+0.003488j)  (-0.002538+0.048289j)  (0.005152+0.009973j)  (0.016736-0.014668j)
 (0.000423-0.002506j)  (-0.008559+0.004967j)  (-0.012089+0.004414j)  (0.001607-0.002408j)  (-0.044190+0.037380j)  (-0.952800+0.027191j)  (-0.025970-0.009502j)  (-0.025884+0.001468j)  (0.015321+0.005209j)  (-0.000178+0.009252j)  (0.023966+0.012294j)  (-0.019327+0.010649j)  (-0.013244-0.067908j)  (0.005907+0.025052j)  (-0.001782+0.008209j)  (-0.001914+0.079186j)  (-0.039246+0.000663j)  (0.010347-0.008308j)  (0.028042-0.014239j)  (-0.019009+0.006145j)  (-0.032595+0.108594j)  (0.003935-0.003480j)  (0.014653+0.019303j)  (0.007826-0.007157j)  (-0.001036+0.056294j)  (0.022416-0.001722j)  (-0.056603-0.088425j)  (0.010780+0.082091j)  (-0.021966-0.001512j)  (0.001851-0.005971j)  (0.019419-0.008801j)  (0.008920-0.020728j)  (0.005449+0.001734j)  (0.007940-0.011607j)  (-0.007648-0.014733j)  (0.017587-0.048864j)  (0.002488-0.010901j)  (0.008596-0.017786j)  (-0.000515-0.000073j)  (0.006376+0.002619j)  (0.000483-0.002386j)  (-0.003809-0.002268j)  (0.013754-0.008057j)  (-0.003905-0.000212j)  (-0.007908+0.019710j)  (0.000025-0.014272j)  (-0.019154-0.017533j)  (0.002108+0.068042j)  (0.010442-0.018556j)  (-0.005875-0.007255j)  (-0.003473-0.005091j)  (-0.009238-0.005761j)  (-0.008569-0.052400j)  (-0.004008+0.014281j)  (-0.004466+0.054650j)  (-0.039220-0.011202j)  (-0.011123+0.005100j)  (0.028258+0.002919j)  (-0.002375-0.049479j)  (0.022727-0.012793j)  (-0.008321-0.001740j)  (0.003365-0.016832j)  (0.021545-0.067012j)  (-0.001920+0.073745j)
 (0.005478+0.029405j)  (-0.003342-0.004152j)  (-0.024456-0.004559j)  (-0.001650+0.011458j)  (-0.002025+0.007047j)  (0.020349-0.000431j)  (-0.955580-0.023694j)  (-0.010621+0.006489j)  (-0.008885+0.022078j)  (-0.000906+0.009658j)  (-0.010716+0.041575j)  (0.002225+0.013321j)  (-0.011532+0.001744j)  (-0.002777-0.047663j)  (-0.004701+0.052738j)  (0.026243-0.003268j)  (0.001597+0.015150j)  (-0.006895+0.002291j)  (-0.016767-0.002985j)  (-0.009716+0.003915j)  (0.012186-0.085329j)  (0.007189+0.005283j)  (0.000214+0.011087j)  (0.015564-0.026398j)  (-0.004085-0.019745j)  (0.008916+0.003497j)  (0.019336-0.013670j)  (0.012347-0.000876j)  (-0.019222-0.011864j)  (0.012045-0.026077j)  (0.025147+0.009840j)  (-0.016754-0.010594j)  (-0.003138-0.011273j)  (0.022303-0.016730j)  (0.010247-0.073942j)  (0.015194+0.062213j)  (-0.003349-0.073192j)  (0.031646-0.023068j)  (0.007791-0.008540j)  (-0.000901+0.004544j)  (-0.005587+0.014893j)  (0.003746-0.001054j)  (0.005002+0.088945j)  (-0.003068+0.010852j)  (0.002835+0.036873j)  (0.015499-0.022636j)  (-0.004389-0.011455j)  (-0.013433+0.002235j)  (0.034823-0.104574j)  (-0.008105+0.016139j)  (-0.023034-0.011977j)  (-0.005947+0.014219j)  (0.006066+0.006709j)  (-0.013929-0.069526j)  (0.016082+0.007366j)  (0.003798+0.003745j)  (-0.000986+0.006180j)  (0.017161+0.003289j)  (0.026546-0.005453j)  (0.004691+0.003736j)  (0.040352-0.060462j)  (0.035232-0.083910j)  (0.010780-0.000179j)  (-0.014753-0.013854j)
 (0.013323-0.000651j)  (-0.008825+0.007513j)  (-0.000316-0.001233j)  (0.008386+0.007611j)  (0.039964+0.067744j)  (0.013172-0.005761j)  (0.008442-0.001130j)  (-0.956367-0.054452j)  (0.026228-0.029666j)  (0.006364+0.005990j)  (0.022106-0.077247j)  (-0.022533+0.017002j)  (0.039861+0.021161j)  (0.014232-0.000784j)  (-0.009761-0.016926j)  (-0.018308-0.048035j)  (0.017985+0.030426j)  (0.012421+0.000618j)  (-0.017043+0.006323j)  (0.021585-0.015734j)  (-0.000604-0.010628j)  (-0.030457-0.107891j)  (-0.019772+0.002896j)  (-0.015018-0.000185j)  (-0.015198+0.012776j)  (0.038190-0.069388j)  (0.019423+0.030679j)  (0.006521+0.006362j)  (0.003885-0.051658j)  (-0.009117-0.004992j)  (-0.019561+0.000550j)  (0.008650+0.019956j)  (-0.021559-0.012467j)  (-0.031362-0.001270j)  (-0.018733-0.023617j)  (-0.026619-0.001004j)  (0.015069+0.010045j)  (-0.037831+0.000118j)  (-0.004528-0.079375j)  (-0.000818-0.008782j)  (0.004619+0.002943j)  (-0.008765+0.003347j)  (0.031154-0.007915j)  (0.001911+0.115375j)  (0.011745-0.000571j)  (-0.018674+0.002766j)  (-0.005845+0.007354j)  (-0.014155-0.003896j)  (-0.004196+0.007663j)  (-0.003959-0.003145j)  (0.007754-0.002035j)  (0.001291+0.001530j)  (-0.001977+0.045663j)  (-0.004257-0.023193j)  (0.007554+0.019458j)  (-0.013377-0.000834j)  (0.015032+0.011422j)  (-0.012076-0.007151j)  (0.012254-0.032121j)  (-0.007558+0.005443j)  (-0.018196-0.026035j)  (0.021314-0.007389j)  (-0.006280+0.006886j)  (0.014670-0.011832j)
 (0.001232-0.001824j)  (0.016019+0.000338j)  (0.014023-0.008166j)  (0.009839-0.083067j)  (-0.056647+0.123625j)  (-0.006382+0.001869j)  (0.009122+0.011902j)  (-0.008556-0.017970j)  (-0.907112+0.000490j)  (0.022097+0.002611j)  (0.032461-0.001970j)  (-0.007785-0.007704j)  (0.002053+0.006968j)  (0.014709+0.088918j)  (0.027729+0.038136j)  (-0.002555+0.003779j)  (-0.025155+0.145678j)  (0.010925-0.002515j)  (-0.005242-0.004625j)  (-0.016067+0.016536j)  (-0.034092-0.006016j)  (0.011996+0.002883j)  (-0.002345+0.005659j)  (0.015443-0.000911j)  (-0.059415+0.109516j)  (0.039480+0.007272j)  (-0.003997-0.000158j)  (-0.024768-0.004274j)  (-0.018234+0.005078j)  (-0.021002-0.026928j)  (0.003181-0.010746j)  (-0.000365+0.006837j)  (-0.004335-0.009477j)  (-0.040636+0.139877j)  (0.000979+0.005083j)  (0.013462-0.007052j)  (-0.047635-0.072566j)  (-0.008872+0.016780j)  (0.015238+0.007518j)  (-0.030422-0.075282j)  (0.035731+0.019421j)  (0.012847+0.006565j)  (0.008986+0.000184j)  (-0.015007-0.017771j)  (0.022843-0.057061j)  (-0.017356+0.095049j)  (0.017836-0.025445j)  (-0.013030-0.000456j)  (0.021395+0.008759j)  (-0.024182+0.000712j)  (0.010046+0.047491j)  (0.026207+0.026224j)  (-0.014946+0.038399j)  (0.013754-0.017195j)  (-0.033978-0.001524j)  (0.038210+0.101009j)  (0.005631+0.008719j)  (-0.018715-0.074732j)  (-0.002661-0.043960j)  (-0.013473+0.051421j)  (0.005460+0.035422j)  (-0.007260-0.085197j)  (0.000821+0.011682j)  (-0.003949-0.046960j)
 (0.007071+0.017497j)  (-0.003002+0.010304j)  (-0.007237-0.008216j)  (0.003732+0.015051j)  (0.004930-0.011067j)  (-0.000159+0.009804j)  (-0.002174+0.012200j)  (0.004844-0.003073j)  (-0.006724-0.005884j)  (-0.950335+0.043651j)  (-0.037788-0.086026j)  (-0.000434+0.005758j)  (0.000909-0.004115j)  (-0.003498-0.009034j)  (-0.004792-0.000723j)  (0.017492-0.028851j)  (-0.019349+0.010650j)  (0.018225-0.042978j)  (0.022666+0.043068j)  (0.007315-0.009256j)  (0.010737-0.007418j)  (-0.005180+0.014877j)  (0.007584-0.003875j)  (-0.027341-0.067505j)  (-0.014848+0.071726j)  (0.024962-0.001912j)  (-0.005372-0.079555j)  (0.028008-0.025053j)  (-0.029207+0.007454j)  (-0.019638-0.012793j)  (-0.040900-0.001927j)  (-0.012078+0.000742j)  (-0.008772+0.003392j)  (-0.004229+0.010569j)  (0.021729-0.015100j)  (0.018999+0.053360j)  (0.022017-0.000123j)  (-0.035742+0.024162j)  (0.002368+0.003226j)  (0.017892-0.007958j)  (-0.000976-0.000903j)  (-0.002094+0.072386j)  (0.018949-0.023519j)  (-0.020073-0.003652j)  (-0.010154-0.133280j)  (0.001735-0.037825j)  (-0.003612+0.011938j)  (-0.017782-0.005472j)  (0.017776+0.002393j)  (-0.027401+0.001470j)  (0.019339-0.077391j)  (-0.032387-0.059613j)  (-0.027434+0.071490j)  (0.004009+0.002474j)  (-0.026623+0.014969j)  (0.004123-0.005081j)  (0.014538-0.014193j)  (0.005067-0.008039j)  (-0.005418-0.006701j)  (0.015051+0.005845j)  (0.016662+0.017395j)  (-0.037279-0.020833j)  (-0.002822-0.006091j)  (0.001353-0.005485j)
 (-0.069642-0.135260j)  (0.025439-0.005138j)  (0.000388+0.016946j)  (0.003555+0.008753j)  (-0.011094+0.003421j)  (-0.017767+0.018191j)  (-0.011549+0.064660j)  (-0.036647-0.086842j)  (-0.018794-0.008674j)  (0.023832-0.099433j)  (-0.906204+0.038769j)  (-0.005299+0.006473j)  (0.031611-0.000716j)  (-0.011638+0.018929j)  (-0.007089-0.006508j)  (-0.005900+0.018368j)  (0.002320+0.013036j)  (0.004455-0.021366j)  (0.031009-0.026328j)  (0.010978-0.003306j)  (0.002319+0.008569j)  (-0.003804-0.007141j)  (0.016223-0.000719j)  (0.059040+0.138574j)  (0.047767-0.007957j)  (-0.015670-0.000650j)  (0.034399-0.065654j)  (0.009760+0.004818j)  (0.028059+0.100714j)  (0.009487+0.013665j)  (0.056717+0.084816j)  (-0.012684-0.025256j)  (0.002551+0.032369j)  (0.009239+0.093048j)  (-0.028784-0.062631j)  (0.012950-0.007773j)  (0.003973-0.027028j)  (0.058028+0.098719j)  (0.015031-0.001006j)  (0.018649+0.004344j)  (0.037958+0.002104j)  (-0.009943+0.031040j)  (0.014680-0.058382j)  (-0.027786+0.004086j)  (-0.004593+0.007217j)  (-0.001154-0.001722j)  (0.016321+0.044849j)  (-0.003243+0.005428j)  (0.034838-0.004438j)  (0.004254+0.006370j)  (-0.005748+0.011898j)  (0.048404-0.084996j)  (-0.018006-0.007817j)  (0.022923+0.007977j)  (-0.001699+0.014755j)  (-0.002551+0.017028j)  (-0.022525-0.028162j)  (-0.005108-0.005990j)  (-0.005437+0.080809j)  (-0.002529+0.008306j)  (0.001519+0.075550j)  (0.030441+0.056132j)  (-0.030014-0.016121j)  (0.005674-0.001235j)
