 (-0.958233+0.027504j)  (-0.030975-0.006667j)  (-0.076108-0.145200j)  (-0.039548-0.022679j)  (0.007696+0.019003j)  (-0.018044-0.005393j)  (0.062063+0.148096j)  (0.016055-0.004239j)  (0.028595-0.007163j)  (-0.016864-0.040041j)  (0.011579-0.062082j)  (-0.049589-0.027475j)  (-0.000612+0.034086j)  (-0.023937-0.055230j)  (-0.073690+0.013052j)  (-0.049682-0.037761j)
 (0.018815-0.008783j)  (-0.957991+0.035077j)  (-0.011908-0.002594j)  (-0.042388-0.104587j)  (-0.042101+0.028924j)  (0.078501+0.055062j)  (-0.008930-0.049473j)  (0.009995+0.000984j)  (-0.033764+0.004547j)  (-0.041421+0.072747j)  (-0.012476-0.009572j)  (0.096667+0.058040j)  (0.018970+0.166509j)  (0.017000+0.028003j)  (-0.009613-0.042474j)  (0.030363+0.013053j)
 (0.051698-0.139711j)  (0.002231-0.019790j)  (-0.946031+0.036903j)  (0.028435-0.013945j)  (0.019109+0.007695j)  (-0.007137-0.172021j)  (-0.032031-0.046900j)  (0.009904-0.024071j)  (-0.000592+0.000192j)  (-0.082097-0.037211j)  (-0.017757+0.091066j)  (-0.082428-0.004281j)  (0.054334-0.011484j)  (0.110819+0.068454j)  (-0.028808-0.030768j)  (0.026926-0.002124j)
 (0.036719-0.019859j)  (0.034516-0.078911j)  (-0.009212-0.007857j)  (-0.975046+0.010628j)  (0.021985+0.023968j)  (-0.004198+0.009274j)  (-0.024780+0.019438j)  (-0.011042-0.038749j)  (0.002470-0.050698j)  (-0.017742-0.042293j)  (0.032705+0.010159j)  (-0.042597+0.059381j)  (-0.096644-0.023331j)  (0.027468+0.112622j)  (-0.012273-0.017200j)  (0.007009+0.032814j)
 (-0.005547+0.025154j)  (0.022056+0.016354j)  (0.001813+0.002801j)  (-0.015020+0.028069j)  (-0.960526+0.003097j)  (-0.089361-0.039139j)  (0.022068+0.063091j)  (0.056214+0.000230j)  (-0.008711+0.170469j)  (0.013794-0.057612j)  (-0.000910+0.050796j)  (0.021381-0.009499j)  (0.009144-0.040541j)  (0.071623+0.106698j)  (-0.039192+0.037320j)  (0.017699+0.023146j)
 (0.020741-0.024233j)  (-0.057344+0.081292j)  (0.008344-0.196531j)  (0.003116-0.019302j)  (0.063491-0.050529j)  (-0.907605+0.007860j)  (0.046009-0.084850j)  (-0.007554+0.027787j)  (-0.014224-0.082626j)  (-0.027661+0.104928j)  (-0.123870-0.002350j)  (0.033298+0.183478j)  (-0.042674-0.059275j)  (0.154396-0.049601j)  (0.038465+0.064045j)  (-0.052154+0.024707j)
 (-0.028995+0.173702j)  (-0.015792-0.037256j)  (0.034133-0.066403j)  (0.021011+0.021376j)  (-0.004053+0.045158j)  (-0.053366-0.074036j)  (-0.943270+0.045488j)  (-0.004545+0.009687j)  (0.034595+0.060094j)  (-0.005396-0.016509j)  (-0.007269+0.117158j)  (-0.127973-0.005795j)  (-0.060079+0.060372j)  (0.045721-0.104019j)  (-0.034821-0.029387j)  (-0.002434-0.031682j)
 (-0.010978-0.010073j)  (0.012328+0.008906j)  (-0.026199-0.022150j)  (0.000693-0.035253j)  (-0.081318+0.006609j)  (0.010475+0.011617j)  (-0.003797+0.007955j)  (-0.981697+0.054628j)  (0.022191-0.040082j)  (-0.059097+0.092982j)  (-0.032537-0.009440j)  (0.017594-0.025929j)  (-0.016524+0.031371j)  (-0.074002-0.006655j)  (0.015135-0.003535j)  (0.006846-0.001542j)
 (-0.001981+0.005362j)  (0.035000+0.002731j)  (0.011443-0.004459j)  (0.012065-0.045082j)  (0.011149+0.178106j)  (-0.010516-0.041482j)  (-0.014385+0.057642j)  (-0.024794-0.048849j)  (-0.967077+0.015090j)  (-0.025465-0.021168j)  (0.005127-0.071849j)  (-0.061973+0.030550j)  (-0.010503+0.003459j)  (-0.013556+0.003047j)  (-0.078421-0.046610j)  (-0.010688-0.030370j)
 (0.008573-0.025124j)  (0.050257+0.095879j)  (0.051363-0.028462j)  (0.010005-0.027719j)  (-0.023696-0.058820j)  (0.029942+0.089368j)  (-0.022076-0.021585j)  (0.070541+0.104645j)  (0.006162-0.002771j)  (-0.967559-0.045652j)  (0.046627-0.039963j)  (0.030084-0.008928j)  (-0.054556-0.019416j)  (-0.064497-0.008586j)  (0.046008-0.010003j)  (0.024691-0.002325j)
 (-0.012105-0.055371j)  (0.012829-0.014700j)  (0.033395+0.109212j)  (-0.014083+0.010412j)  (0.001811+0.057072j)  (0.076526+0.019577j)  (-0.006598+0.136132j)  (0.032423-0.018574j)  (0.011809-0.065125j)  (-0.047131-0.058450j)  (-0.966937+0.052797j)  (0.010670-0.018999j)  (-0.011490+0.002399j)  (-0.024167+0.052081j)  (-0.026182-0.023188j)  (0.021746-0.014377j)
 (0.032964-0.059699j)  (-0.076925+0.091477j)  (0.044156+0.003771j)  (0.030485+0.048875j)  (-0.030004-0.039835j)  (0.002436+0.210566j)  (0.088268-0.035175j)  (-0.012445-0.014437j)  (0.028187+0.024920j)  (-0.000541+0.016305j)  (-0.017817-0.013741j)  (-0.945412+0.054454j)  (0.014947+0.043095j)  (-0.019023+0.033672j)  (0.098433+0.085198j)  (0.007634-0.004369j)
 (0.003847+0.006948j)  (-0.016658+0.173642j)  (-0.062170+0.018584j)  (0.080512-0.009431j)  (-0.001201-0.014263j)  (0.039015-0.085099j)  (0.047194+0.040151j)  (0.021950+0.022030j)  (0.005508+0.009750j)  (0.071314-0.012118j)  (0.012714+0.006389j)  (0.003734+0.030035j)  (-0.957421+0.041705j)  (-0.102831+0.061674j)  (0.041292+0.062596j)  (0.003533+0.008113j)
 (-0.002245-0.084645j)  (-0.021197-0.002233j)  (-0.070255+0.041243j)  (-0.032974+0.112105j)  (-0.048247+0.106810j)  (-0.157026-0.076981j)  (-0.054211-0.128042j)  (0.063333-0.025585j)  (0.009741+0.002387j)  (0.032088+0.004361j)  (0.005741+0.066967j)  (0.023376+0.059954j)  (0.107730+0.047217j)  (-0.931078+0.009455j)  (0.006332+0.111991j)  (-0.021530+0.009044j)
 (0.070957-0.000017j)  (0.022609-0.002106j)  (0.020978-0.020538j)  (0.038469-0.014628j)  (0.022435+0.006592j)  (-0.015771+0.125677j)  (0.022201-0.073704j)  (-0.012900-0.000494j)  (0.082497-0.061010j)  (-0.030013-0.011575j)  (0.024684-0.021072j)  (-0.049797+0.087508j)  (-0.041891+0.048445j)  (-0.006706+0.113125j)  (-0.953475+0.045214j)  (-0.029428-0.132245j)
 (0.038209-0.037711j)  (-0.019799+0.016616j)  (-0.014291+0.022759j)  (-0.000184+0.035035j)  (-0.029366+0.024633j)  (0.042603+0.017383j)  (-0.007238-0.023328j)  (-0.003344-0.002912j)  (0.013473-0.008893j)  (-0.021092-0.011657j)  (-0.011362-0.001548j)  (-0.008294-0.030669j)  (-0.011953+0.006488j)  (0.011329+0.009590j)  (0.019380-0.144920j)  (-0.980703+0.068954j)
