 (-0.966377+0.001778j)  (0.027402+0.019616j)  (-0.016970-0.001943j)  (0.003946+0.004028j)  (-0.033393-0.004173j)  (0.030098+0.005052j)  (-0.048423+0.019836j)  (-0.014013+0.006983j)  (-0.017232+0.004680j)  (-0.002332+0.020077j)  (-0.008987-0.078080j)  (-0.024446+0.010566j)  (0.027886-0.026903j)  (0.008038-0.002369j)  (0.007412+0.000947j)  (-0.051488+0.017709j)  (-0.064464-0.123725j)  (0.022139+0.005142j)  (-0.017117+0.008922j)  (-0.001970+0.013766j)  (-0.005657+0.001998j)  (-0.050699+0.003937j)  (-0.019658+0.029494j)  (-0.009560+0.011793j)  (-0.013414+0.011013j)  (0.006520-0.023745j)  (-0.002735+0.020127j)  (-0.008419+0.034522j)  (0.002544-0.007262j)  (0.015647-0.024545j)  (-0.013259+0.026054j)  (0.004539+0.135578j)
 (-0.002279+0.007885j)  (-0.942050-0.019565j)  (0.014069+0.005509j)  (0.039809-0.018713j)  (-0.097188-0.109874j)  (0.005817-0.005848j)  (0.017298+0.008290j)  (0.003498-0.017821j)  (-0.039478+0.007311j)  (0.013665-0.076919j)  (-0.026332+0.023416j)  (-0.026944-0.064272j)  (0.034014-0.010151j)  (0.013046-0.010983j)  (0.020863+0.067002j)  (-0.050946+0.082723j)  (-0.023381+0.002027j)  (-0.000409+0.008703j)  (-0.009929+0.074605j)  (-0.002390-0.005482j)  (0.033411+0.095108j)  (-0.027874+0.040047j)  (-0.008512-0.087016j)  (0.001328+0.108671j)  (-0.032828-0.003140j)  (-0.025617-0.001927j)  (0.032156+0.008502j)  (-0.007160+0.073486j)  (-0.020110+0.028994j)  (-0.006723-0.044444j)  (0.018135+0.012032j)  (0.013189+0.085869j)
 (0.005058+0.007768j)  (-0.011880+0.011970j)  (-0.926624-0.021331j)  (0.025704-0.093019j)  (0.035768+0.005849j)  (-0.020990-0.010659j)  (0.017308+0.001700j)  (-0.013355-0.003840j)  (0.030299+0.019795j)  (-0.064085+0.104744j)  (-0.011160+0.007237j)  (0.018845-0.108878j)  (-0.030190-0.014818j)  (0.023780-0.078236j)  (-0.022535-0.017223j)  (0.004129+0.019232j)  (0.016412-0.101515j)  (0.055477+0.089361j)  (0.036483+0.031139j)  (-0.006696-0.012398j)  (0.031057+0.032320j)  (-0.005389-0.104821j)  (0.072898-0.084506j)  (-0.081836+0.091606j)  (0.004750-0.002573j)  (0.005071+0.028463j)  (0.005673-0.068849j)  (-0.022533+0.008367j)  (0.023500-0.003335j)  (0.006837+0.068870j)  (0.000088+0.013674j)  (0.042127-0.113339j)
 (0.016234+0.008681j)  (0.008876-0.001004j)  (-0.034791-0.110000j)  (-0.929463-0.012218j)  (-0.086176+0.015869j)  (0.098598+0.027890j)  (0.033905+0.001893j)  (-0.019674+0.012335j)  (-0.019852-0.010356j)  (0.074225-0.004327j)  (-0.022157+0.028614j)  (0.027692-0.018444j)  (0.020956-0.032388j)  (0.005546-0.021676j)  (0.012754+0.008418j)  (0.029477+0.040510j)  (0.010908-0.026320j)  (-0.011298-0.065808j)  (-0.005676-0.026832j)  (-0.014037+0.046283j)  (-0.058047+0.110791j)  (0.008091-0.007387j)  (0.012979-0.097136j)  (-0.022765+0.018756j)  (-0.037719-0.026153j)  (0.006291-0.053082j)  (0.023138+0.009915j)  (-0.045415+0.077348j)  (-0.000263-0.008673j)  (0.123001-0.108898j)  (-0.018991-0.094948j)  (-0.018668+0.064357j)
 (0.011116-0.004802j)  (0.074432-0.086723j)  (-0.021370-0.002791j)  (0.104128+0.030346j)  (-0.931153-0.016367j)  (0.035031+0.064540j)  (-0.010530-0.004548j)  (-0.013012-0.078164j)  (0.004636-0.004955j)  (0.098992+0.122511j)  (0.008983+0.089924j)  (0.005921+0.006727j)  (-0.034994-0.086475j)  (-0.006387+0.004493j)  (-0.024925+0.005920j)  (-0.001572-0.026181j)  (0.025641+0.044583j)  (0.051339+0.020195j)  (-0.067896-0.109201j)  (0.002401+0.075170j)  (-0.024946+0.012589j)  (0.023595-0.046185j)  (0.037568-0.004831j)  (0.008783-0.008180j)  (0.021688-0.021757j)  (0.000662-0.003011j)  (-0.047168-0.071528j)  (-0.007519-0.031278j)  (-0.003453+0.041570j)  (-0.023678-0.051343j)  (0.007623+0.003346j)  (-0.000630-0.070523j)
 (-0.018754+0.004106j)  (-0.001250-0.012591j)  (0.006382-0.018921j)  (-0.071700+0.028332j)  (-0.041629+0.067566j)  (-0.962502-0.010132j)  (0.011582-0.005672j)  (-0.016657+0.006166j)  (-0.000736+0.001173j)  (0.016023-0.013606j)  (0.004954-0.005727j)  (-0.015892-0.014721j)  (0.074514-0.075677j)  (-0.016046-0.020509j)  (-0.024986+0.015594j)  (0.012392+0.018734j)  (0.029635-0.051899j)  (0.003755-0.025299j)  (-0.045421-0.054548j)  (0.011277+0.013365j)  (-0.056337+0.013532j)  (-0.024457+0.118196j)  (0.016419-0.009807j)  (-0.014306+0.034698j)  (0.015220-0.004092j)  (0.011977-0.012348j)  (-0.014574+0.000505j)  (0.035160+0.035274j)  (-0.008294-0.025602j)  (-0.026315+0.039944j)  (-0.009408-0.097913j)  (-0.002841+0.018231j)
 (0.059281+0.006490j)  (-0.007165+0.002011j)  (-0.012554-0.005537j)  (-0.011311-0.001144j)  (-0.004256+0.006511j)  (-0.006308-0.010701j)  (-0.960069+0.015303j)  (-0.015633+0.013446j)  (0.005218+0.003256j)  (-0.036772+0.002357j)  (-0.022179+0.139542j)  (0.011256+0.054606j)  (0.010550-0.013029j)  (-0.003207-0.017703j)  (-0.030245-0.092172j)  (0.019932+0.012524j)  (-0.032411-0.060646j)  (0.021524+0.007954j)  (-0.002810+0.050692j)  (-0.037520-0.044058j)  (-0.020032+0.011395j)  (-0.032225+0.018635j)  (-0.007098-0.042442j)  (0.016481+0.031530j)  (-0.003575-0.008408j)  (0.014579-0.110571j)  (0.020620+0.059489j)  (0.004854-0.002220j)  (0.014708-0.037587j)  (0.032008-0.014806j)  (0.010589+0.001953j)  (0.035954+0.037633j)
 (-0.005745-0.000049j)  (0.011204-0.011932j)  (0.010635+0.000349j)  (-0.003920+0.002321j)  (0.019468-0.074738j)  (-0.004338+0.002651j)  (0.018729+0.012352j)  (-0.961155+0.002011j)  (-0.013832+0.016418j)  (0.002311+0.013605j)  (-0.028313+0.059412j)  (0.025018-0.014752j)  (-0.010228+0.021236j)  (-0.095729-0.022014j)  (0.024542+0.063548j)  (0.008023-0.015675j)  (0.033149+0.035616j)  (-0.016835+0.001280j)  (-0.015772+0.032129j)  (-0.020325-0.120956j)  (0.008877+0.001671j)  (0.015535-0.001310j)  (0.020690+0.008105j)  (-0.012467+0.006836j)  (0.001408+0.007305j)  (-0.018012+0.001839j)  (0.014524+0.010645j)  (0.090390-0.045215j)  (-0.036262+0.016695j)  (-0.044111-0.070252j)  (0.020962+0.089013j)  (-0.003521-0.022314j)
 (0.007513+0.005525j)  (0.009477+0.001366j)  (-0.009001+0.008231j)  (-0.002983-0.006043j)  (0.010264+0.005607j)  (-0.021591+0.003042j)  (-0.005971-0.003470j)  (0.012467+0.013104j)  (-0.979843+0.003204j)  (-0.008460+0.094185j)  (0.015603+0.005915j)  (-0.020168+0.005587j)  (-0.048305+0.073253j)  (-0.000835+0.003895j)  (-0.018187-0.068989j)  (0.003918-0.018631j)  (-0.017321+0.004497j)  (0.014598-0.002584j)  (0.001412-0.008129j)  (0.000478-0.004888j)  (-0.012741-0.018769j)  (0.043305-0.023355j)  (-0.023719-0.011655j)  (0.002407-0.011194j)  (0.000063+0.020363j)  (-0.006911+0.026446j)  (-0.014790-0.057323j)  (-0.006352-0.021923j)  (0.057835-0.013679j)  (-0.002182+0.010428j)  (0.002673+0.038239j)  (0.010206-0.030128j)
 (-0.002937+0.006441j)  (0.009550-0.112823j)  (0.038228+0.125165j)  (-0.095208-0.045168j)  (-0.106150+0.102100j)  (0.003638-0.001578j)  (0.015604+0.006443j)  (-0.001028+0.004258j)  (-0.001757+0.098051j)  (-0.927901-0.064863j)  (-0.009995-0.006237j)  (-0.005247-0.059244j)  (-0.000179+0.013570j)  (-0.024827+0.012014j)  (0.033650+0.009480j)  (-0.043524-0.032792j)  (0.018749+0.084854j)  (-0.031638+0.128225j)  (-0.035419-0.012617j)  (0.024838+0.010343j)  (0.014451+0.020585j)  (0.008626+0.059501j)  (-0.037346+0.062191j)  (0.016461+0.022862j)  (-0.017277+0.018340j)  (-0.038770-0.005214j)  (-0.013871-0.009077j)  (0.001598+0.046871j)  (0.010467+0.089266j)  (-0.045785-0.004613j)  (0.002999-0.013240j)  (-0.005036+0.027707j)
 (0.015138-0.093419j)  (0.011424-0.002173j)  (0.007831+0.016448j)  (0.025394+0.013463j)  (-0.021970+0.093259j)  (0.001778+0.001389j)  (0.032231+0.129058j)  (0.015369+0.057185j)  (-0.012057+0.003036j)  (0.011694-0.022840j)  (-0.961980-0.010470j)  (0.017846+0.008985j)  (-0.007269+0.000105j)  (-0.018024+0.011663j)  (0.008481-0.048082j)  (0.029239+0.076281j)  (0.016454-0.034435j)  (0.026129-0.005230j)  (0.035247-0.021955j)  (-0.010874+0.010028j)  (0.030995+0.019800j)  (-0.017634-0.017708j)  (-0.034235+0.033453j)  (0.001533-0.025500j)  (0.021886+0.046804j)  (-0.008773-0.000884j)  (0.018366+0.001482j)  (0.014347-0.018762j)  (0.040487-0.086739j)  (-0.020919-0.004173j)  (0.006007-0.024496j)  (0.011603+0.001624j)
