 (-0.982303-0.007319j)  (-0.024874+0.037724j)  (-0.012173+0.010358j)  (-0.017364+0.008950j)  (0.014286-0.023524j)  (0.028250-0.014353j)  (-0.029374+0.012537j)  (-0.026954+0.008540j)  (-0.000550-0.018823j)  (0.024473-0.005015j)  (-0.003842+0.011882j)  (-0.011334-0.015188j)  (0.005245-0.010881j)  (-0.009326-0.012681j)  (-0.009006-0.006395j)  (-0.011800-0.004437j)  (-0.047104+0.059093j)  (-0.016682-0.003020j)  (0.013771+0.018748j)  (0.001707-0.006609j)  (-0.009534+0.009768j)  (0.001611-0.012654j)  (0.007634+0.006033j)  (0.001253-0.003577j)  (0.007772+0.009094j)  (0.013791-0.000730j)  (-0.006551-0.013698j)  (0.005010-0.023025j)  (-0.033849-0.001508j)  (-0.008063-0.002954j)  (-0.004686-0.108171j)  (-0.006307+0.073830j)
 (0.031424+0.038028j)  (-0.942502-0.023676j)  (-0.013241+0.029513j)  (-0.015325-0.022282j)  (0.022287-0.106857j)  (-0.001380-0.096353j)  (-0.034523+0.003858j)  (0.011877+0.000633j)  (-0.004591-0.004241j)  (-0.016735+0.058906j)  (-0.017224-0.017208j)  (0.000880-0.060621j)  (-0.022714+0.010170j)  (-0.002227-0.006284j)  (-0.018778+0.105443j)  (0.023734-0.130389j)  (-0.005439+0.021581j)  (0.007580-0.007071j)  (-0.005428+0.093440j)  (-0.007891-0.020515j)  (-0.036724+0.105499j)  (0.005462-0.024640j)  (-0.017360+0.069990j)  (0.000205-0.103591j)  (0.013684-0.002115j)  (0.013771-0.015029j)  (-0.031967+0.003251j)  (-0.029833+0.052281j)  (0.007976-0.024214j)  (0.036339+0.015900j)  (0.011014+0.009466j)  (-0.002907+0.003637j)
 (0.017230+0.005731j)  (0.023089+0.021390j)  (-0.931920-0.009888j)  (0.049114+0.106021j)  (-0.014238+0.004788j)  (-0.025927-0.001261j)  (-0.010319+0.018445j)  (0.000004-0.040701j)  (0.028972+0.000769j)  (-0.044839+0.104727j)  (0.018173+0.012963j)  (-0.074262-0.127929j)  (-0.052333-0.004283j)  (-0.002924-0.083432j)  (0.027967-0.079514j)  (0.008977+0.001269j)  (-0.008207+0.023627j)  (0.034351-0.089865j)  (0.028055+0.073371j)  (0.031121-0.029827j)  (0.003390-0.000385j)  (0.030816+0.075933j)  (0.035492-0.087436j)  (-0.015606-0.065065j)  (-0.026363+0.110131j)  (-0.001421+0.016005j)  (0.013094-0.046294j)  (-0.019548+0.007878j)  (-0.021819+0.006895j)  (-0.008653+0.036774j)  (-0.032893+0.027650j)  (0.034550+0.038612j)
 (0.005739+0.005323j)  (0.002743+0.000137j)  (-0.049946+0.094213j)  (-0.959893-0.041131j)  (0.032179+0.109919j)  (0.016598+0.012943j)  (0.005256-0.015775j)  (0.008723+0.022941j)  (-0.018798+0.013198j)  (-0.073826-0.077237j)  (0.035721-0.009107j)  (0.002682+0.003774j)  (-0.002500+0.011850j)  (-0.031542-0.014466j)  (-0.005750-0.011208j)  (0.007532-0.013333j)  (0.009018+0.006254j)  (0.011778-0.056848j)  (0.000921-0.006071j)  (-0.021627-0.015667j)  (-0.029064+0.034501j)  (-0.004420+0.007848j)  (-0.052653-0.120877j)  (-0.028439-0.007093j)  (0.007502-0.000594j)  (0.002341-0.007912j)  (0.010779+0.021144j)  (-0.027193-0.010277j)  (0.020664+0.002174j)  (0.009193-0.005488j)  (0.000744-0.003090j)  (0.026681-0.092544j)
 (-0.001344-0.023482j)  (-0.019570-0.106490j)  (0.010943+0.023273j)  (-0.038907+0.113184j)  (-0.936357-0.044570j)  (-0.030209+0.094160j)  (0.010380+0.052409j)  (-0.012184+0.067943j)  (-0.019164-0.009629j)  (0.018715-0.067955j)  (-0.077787+0.121806j)  (-0.009468-0.021367j)  (0.029526-0.109393j)  (0.008528+0.005435j)  (-0.020725+0.008028j)  (0.065169-0.022798j)  (-0.011278+0.053198j)  (-0.001962-0.038963j)  (0.011532+0.010216j)  (-0.001437+0.065101j)  (-0.056971+0.019987j)  (0.011474+0.008899j)  (-0.013794-0.001401j)  (0.028815-0.012538j)  (0.013576-0.009825j)  (-0.004112+0.028046j)  (-0.021986+0.057405j)  (0.020197+0.023243j)  (-0.008175-0.047153j)  (-0.021777-0.079967j)  (-0.019031-0.026325j)  (-0.013710+0.036324j)
 (-0.019925-0.006189j)  (-0.016728-0.079359j)  (0.014244-0.007425j)  (-0.004339+0.007011j)  (0.025307+0.097885j)  (-0.974117-0.052605j)  (-0.014932-0.003315j)  (-0.001213-0.007899j)  (0.003957-0.003992j)  (-0.013292-0.011122j)  (0.022368+0.007651j)  (-0.000789+0.001313j)  (-0.020688-0.001664j)  (-0.001176+0.022923j)  (-0.013772-0.004589j)  (0.018356+0.005816j)  (-0.014665-0.009101j)  (-0.013482+0.009415j)  (-0.002934-0.025823j)  (0.004269-0.017060j)  (-0.023687-0.011606j)  (0.036622-0.032401j)  (-0.032430+0.001847j)  (0.007437+0.066289j)  (-0.012778+0.009982j)  (0.002030-0.003069j)  (0.018507-0.034859j)  (-0.006303-0.040885j)  (-0.027970+0.038666j)  (0.003602+0.012924j)  (0.042109-0.100106j)  (0.001985-0.009663j)
 (0.016003+0.010490j)  (0.027415+0.009775j)  (0.019798+0.010949j)  (0.020919-0.006489j)  (-0.018404+0.046616j)  (0.010087+0.003686j)  (-0.956694-0.005524j)  (-0.024824+0.017203j)  (-0.015710+0.020566j)  (-0.053224-0.014412j)  (0.027702+0.002204j)  (0.020494+0.093671j)  (-0.013704+0.006974j)  (0.001878-0.007409j)  (0.012796-0.080829j)  (0.009689+0.000095j)  (0.025789-0.049383j)  (0.001895-0.055142j)  (-0.010922+0.093688j)  (0.024078-0.081254j)  (-0.022783-0.002315j)  (-0.019159+0.038332j)  (0.024041-0.009868j)  (0.002259-0.013546j)  (0.040051-0.005183j)  (0.015074+0.082633j)  (0.018474+0.109655j)  (-0.012602+0.069674j)  (0.030453+0.044082j)  (0.031538-0.006231j)  (0.007210-0.011795j)  (0.034056-0.037791j)
 (0.010578+0.005951j)  (-0.017982-0.014079j)  (-0.001985-0.030268j)  (-0.002697+0.006699j)  (0.012629+0.053250j)  (-0.001587-0.005809j)  (0.024107+0.002604j)  (-0.955735-0.006002j)  (0.007221+0.022794j)  (-0.020747+0.007804j)  (-0.001179+0.005381j)  (0.023762+0.005580j)  (0.029569+0.001043j)  (0.006948-0.074584j)  (0.001154+0.046604j)  (-0.000744+0.018652j)  (0.040984-0.043050j)  (0.010140+0.001437j)  (0.010096-0.021201j)  (-0.018401+0.052701j)  (0.060492+0.128473j)  (-0.008418+0.081428j)  (-0.035294+0.007347j)  (-0.010578+0.055760j)  (-0.036312-0.013809j)  (-0.005734-0.022878j)  (0.031674-0.000777j)  (0.030019+0.085634j)  (-0.035076+0.093111j)  (-0.057531-0.061820j)  (-0.021257+0.053968j)  (-0.013478-0.001887j)
 (-0.006167-0.015393j)  (0.002419-0.003451j)  (-0.011680-0.012785j)  (0.013351+0.002085j)  (0.005839-0.003654j)  (-0.004481-0.003412j)  (0.009532+0.014051j)  (0.004962+0.011281j)  (-0.987586-0.011700j)  (-0.022733+0.072849j)  (-0.018259+0.000315j)  (-0.011557-0.011604j)  (0.017066+0.041963j)  (-0.005499-0.003183j)  (0.006286-0.039638j)  (0.000194+0.006794j)  (0.011076+0.009976j)  (0.002297+0.007525j)  (0.003056+0.003517j)  (-0.007770+0.010610j)  (0.021190+0.004803j)  (0.026986+0.022754j)  (-0.012565+0.003105j)  (0.007417+0.012378j)  (0.014105+0.009636j)  (-0.012444+0.002777j)  (0.016969-0.069624j)  (-0.006813+0.003321j)  (0.005655+0.039995j)  (-0.008377-0.007160j)  (0.022783+0.045589j)  (-0.017478-0.013853j)
 (-0.015557-0.014902j)  (0.026778+0.049225j)  (0.039556+0.110832j)  (0.071060-0.081743j)  (-0.016979-0.073970j)  (-0.004721-0.000174j)  (0.021229-0.008962j)  (0.009191-0.005939j)  (0.016097+0.063621j)  (-0.944735-0.004922j)  (-0.025313-0.006142j)  (0.041888-0.091843j)  (0.039417-0.119178j)  (-0.024799+0.002984j)  (0.006694+0.052189j)  (-0.029497+0.019948j)  (-0.025340+0.084963j)  (-0.030101+0.105170j)  (0.004925-0.001446j)  (0.020515+0.030250j)  (0.034916-0.008655j)  (0.009339-0.011009j)  (-0.014055-0.043776j)  (-0.054516-0.027129j)  (0.000709+0.007075j)  (0.003645+0.003479j)  (-0.053212+0.007718j)  (0.026942-0.052752j)  (0.003361+0.016279j)  (-0.016067+0.007714j)  (0.002997+0.020589j)  (0.002527+0.014768j)
 (0.006538+0.008782j)  (0.002286+0.007991j)  (-0.016584+0.008877j)  (-0.014113-0.002342j)  (0.072721+0.139857j)  (-0.003070-0.003371j)  (-0.015547-0.003994j)  (-0.003506+0.017677j)  (0.016413+0.001833j)  (0.013796-0.003986j)  (-0.965547-0.020681j)  (0.003191-0.013393j)  (0.008723+0.009301j)  (-0.000172+0.014081j)  (0.009281-0.016567j)  (-0.001480+0.067567j)  (0.017283+0.010095j)  (-0.013015-0.004318j)  (0.010849+0.059724j)  (-0.000444-0.012864j)  (-0.132747-0.024083j)  (-0.012715-0.067690j)  (0.008270-0.003236j)  (-0.001570-0.013876j)  (0.013943+0.008627j)  (0.008045-0.013678j)  (-0.002257-0.010910j)  (0.020740-0.008290j)  (0.001316+0.063262j)  (-0.030675+0.000991j)  (-0.035719+0.000409j)  (0.009453-0.004741j)
 (-0.001225-0.008052j)  (-0.007986-0.052299j)  (0.055083-0.105482j)  (-0.007583+0.010037j)  (0.005457-0.010735j)  (0.005142-0.001736j)  (0.006494+0.082921j)  (-0.018763+0.008253j)  (0.007029+0.007980j)  (-0.048633-0.107939j)  (-0.001510-0.016508j)  (-0.925340+0.016367j)  (0.011618+0.024205j)  (0.027560-0.002128j)  (0.002145+0.016788j)  (0.014441+0.019708j)  (-0.033481-0.006754j)  (0.027872+0.132962j)  (-0.087849+0.078181j)  (-0.099193-0.110111j)  (0.015401-0.021541j)  (-0.048632+0.022009j)  (0.006656+0.014539j)  (-0.009413+0.014401j)  (0.006384+0.116143j)  (0.024159-0.006581j)  (0.061417+0.102149j)  (0.042676-0.026818j)  (0.045130+0.052819j)  (0.006548-0.005196j)  (0.045347+0.039105j)  (-0.031854-0.045726j)
 (-0.005517-0.018575j)  (0.009118+0.002365j)  (0.016586-0.006951j)  (0.001673+0.009205j)  (-0.020944-0.108629j)  (0.019755+0.005418j)  (0.005334+0.000944j)  (-0.015055+0.000839j)  (-0.017674+0.044375j)  (-0.026824-0.121765j)  (-0.025865-0.003198j)  (0.010307+0.016019j)  (-0.959304+0.013403j)  (0.005947+0.016760j)  (-0.032330+0.011825j)  (-0.002491+0.017149j)  (0.010803+0.012215j)  (-0.024002+0.013127j)  (0.028381-0.003578j)  (-0.003557+0.027948j)  (0.014344-0.000521j)  (0.011286+0.029883j)  (0.000546-0.009192j)  (-0.028913+0.106226j)  (0.026838-0.045011j)  (-0.015399-0.118777j)  (0.017199-0.008571j)  (0.022811+0.004349j)  (0.056642+0.072960j)  (0.015297-0.033238j)  (0.029736-0.014033j)  (-0.005486-0.007396j)
 (0.002041-0.011228j)  (-0.001089-0.009160j)  (-0.002413-0.089387j)  (0.020488-0.003356j)  (-0.009131+0.004438j)  (-0.002381+0.022280j)  (-0.003320-0.003797j)  (-0.003955-0.064732j)  (0.004307-0.000059j)  (0.007709-0.008530j)  (-0.002613+0.015699j)  (-0.014173-0.012015j)  (0.000638+0.014853j)  (-0.985366+0.002675j)  (-0.018524+0.004305j)  (0.011032-0.006894j)  (0.020539-0.001184j)  (0.033906+0.006416j)  (-0.007330-0.015760j)  (-0.006253-0.012306j)  (-0.019199-0.003998j)  (-0.018079+0.004525j)  (0.033371+0.032786j)  (0.010340+0.010572j)  (0.040025-0.024777j)  (-0.029965-0.040027j)  (0.020600+0.029482j)  (-0.000610+0.000720j)  (-0.020949-0.020589j)  (0.020681-0.025915j)  (-0.008085+0.022171j)  (-0.002325-0.016939j)
 (0.012099-0.004587j)  (0.035583+0.111412j)  (-0.030172-0.073538j)  (0.006215-0.001911j)  (0.001716+0.022503j)  (0.000595-0.012667j)  (-0.005064-0.088635j)  (-0.010710+0.063578j)  (-0.007112-0.039819j)  (-0.012560+0.049876j)  (-0.001806-0.018218j)  (0.004221-0.002543j)  (0.017099+0.002423j)  (0.023151+0.001942j)  (-0.957655+0.030156j)  (-0.022032-0.003785j)  (-0.007444-0.005351j)  (0.043489+0.046390j)  (-0.025312+0.034577j)  (-0.022404-0.070628j)  (-0.035845+0.052167j)  (0.011190-0.041364j)  (0.036533-0.013859j)  (-0.034412+0.000487j)  (0.003849+0.007718j)  (0.017785+0.011789j)  (-0.014726+0.002800j)  (-0.058724-0.001023j)  (0.065793-0.076708j)  (0.009832-0.091967j)  (-0.003502-0.007643j)  (-0.001429+0.006549j)
