 (-0.964043-0.002662j)  (0.027571+0.124977j)  (-0.003174-0.093907j)  (-0.009100+0.035592j)  (-0.003592-0.019888j)  (0.021096+0.015389j)  (-0.015922+0.007461j)  (-0.021928-0.023005j)  (-0.004833-0.015644j)  (0.012488+0.022907j)  (-0.008891-0.010480j)  (-0.009523+0.004095j)  (0.005385+0.003230j)  (-0.006106-0.007012j)  (0.028509-0.008584j)  (-0.028295+0.011036j)  (-0.010647-0.008176j)  (0.025211-0.003160j)  (0.034939+0.006172j)  (-0.019965+0.007602j)  (-0.017665-0.019303j)  (0.025641+0.016484j)  (0.039918+0.070075j)  (0.034765+0.012615j)  (0.037030+0.002487j)  (-0.015608+0.004549j)  (0.000790+0.013882j)  (0.021110-0.003097j)  (-0.019313-0.009111j)  (-0.024274-0.068224j)  (-0.016462+0.117301j)  (0.022029+0.062726j)
 (-0.024622+0.130538j)  (-0.920194+0.010685j)  (-0.004663+0.020661j)  (-0.028757+0.012749j)  (-0.031299-0.064382j)  (-0.025272+0.089199j)  (0.005239+0.007600j)  (0.040642-0.132864j)  (-0.009697-0.008550j)  (0.016565+0.096214j)  (0.003141-0.006287j)  (0.026480+0.073519j)  (-0.054490-0.004889j)  (-0.001697-0.009973j)  (0.015810+0.061371j)  (-0.072273-0.099571j)  (-0.006947+0.006860j)  (0.025486+0.018644j)  (-0.020548+0.105679j)  (0.021172-0.038798j)  (0.017249+0.005796j)  (0.009849+0.012052j)  (0.053548-0.103010j)  (-0.031620+0.079006j)  (0.005558-0.000935j)  (-0.005208-0.065063j)  (-0.029060-0.062723j)  (0.009683+0.007110j)  (0.000639-0.103522j)  (0.026393+0.052940j)  (0.048620+0.027773j)  (-0.002438+0.018120j)
 (-0.005511-0.095229j)  (0.014685+0.010288j)  (-0.923338-0.021267j)  (-0.000528-0.092078j)  (-0.014114+0.007102j)  (-0.020618+0.015732j)  (0.014124+0.021935j)  (-0.004206-0.029815j)  (0.026446+0.016146j)  (0.043677+0.023841j)  (0.028494-0.000710j)  (-0.006975+0.095095j)  (0.010992-0.010544j)  (0.028585+0.092695j)  (0.026253-0.111687j)  (-0.021074+0.024997j)  (-0.010175-0.003246j)  (0.043132-0.116058j)  (-0.031086+0.056324j)  (0.034673+0.012882j)  (0.007443+0.018756j)  (0.033675-0.013666j)  (-0.032739-0.056068j)  (0.028314-0.088492j)  (0.033218+0.105405j)  (-0.036773+0.028677j)  (-0.013387-0.077392j)  (-0.054191-0.014998j)  (-0.027513-0.021492j)  (0.029500+0.152223j)  (-0.018554-0.009792j)  (-0.002148+0.066497j)
 (0.005014+0.016408j)  (0.019820-0.003067j)  (-0.008588-0.101277j)  (-0.929750-0.050679j)  (-0.043382+0.090912j)  (0.044517+0.084202j)  (0.058509-0.016001j)  (-0.018784+0.002686j)  (0.017289+0.022918j)  (-0.017839-0.119120j)  (0.007414+0.005722j)  (-0.003060+0.004342j)  (-0.011475-0.033110j)  (-0.003706-0.015211j)  (-0.014913+0.004244j)  (0.021047+0.004247j)  (-0.005506-0.001406j)  (-0.033824-0.000328j)  (-0.007034-0.019860j)  (0.023387-0.100330j)  (-0.055455+0.152851j)  (0.007836+0.075960j)  (0.049077-0.117375j)  (0.003957+0.006080j)  (-0.038808+0.019110j)  (0.001293+0.058219j)  (-0.019303+0.014091j)  (-0.013667-0.028628j)  (-0.018188+0.032947j)  (-0.010145-0.100792j)  (0.026001-0.021196j)  (0.015858-0.021283j)
 (0.003204-0.019968j)  (0.025992-0.058503j)  (0.008028-0.010378j)  (0.031765+0.095480j)  (-0.951495+0.000940j)  (-0.026304+0.082237j)  (0.004201+0.015437j)  (0.003587+0.029913j)  (-0.026025+0.005734j)  (-0.060637+0.068055j)  (-0.028155-0.033945j)  (0.037063-0.013653j)  (0.040308-0.054016j)  (-0.002078+0.014941j)  (-0.039369+0.001228j)  (0.017615+0.002070j)  (-0.016176+0.028983j)  (-0.005889-0.065115j)  (-0.029368+0.023440j)  (-0.021376+0.026030j)  (-0.007316-0.005141j)  (0.039283+0.004462j)  (-0.030328-0.003305j)  (0.008789+0.021062j)  (0.034725-0.074523j)  (0.006617-0.008753j)  (0.058549+0.083217j)  (-0.003290-0.050473j)  (0.055691+0.069798j)  (0.084988+0.011398j)  (-0.004329+0.004056j)  (-0.015211+0.075319j)
 (0.000706+0.017689j)  (0.023453+0.067246j)  (0.001565+0.003605j)  (-0.020745+0.076593j)  (0.022880+0.099863j)  (-0.962922-0.012899j)  (0.010314+0.002677j)  (-0.040895-0.032872j)  (-0.002706-0.000119j)  (0.015537-0.014856j)  (0.020122-0.015301j)  (0.024145-0.008464j)  (-0.028315+0.019265j)  (0.010642-0.019577j)  (0.010523-0.005415j)  (-0.018876+0.012712j)  (-0.000909-0.003127j)  (-0.035093+0.007261j)  (0.019218-0.006794j)  (0.001160-0.063458j)  (0.031485-0.019413j)  (0.031119+0.172496j)  (-0.014876+0.012336j)  (0.011660+0.007459j)  (-0.007983-0.002765j)  (0.007295-0.000025j)  (-0.009860-0.002560j)  (0.013824-0.005421j)  (-0.021500+0.042238j)  (-0.008493-0.020836j)  (0.005416+0.036999j)  (0.021585-0.001993j)
 (0.008747+0.014550j)  (0.010396+0.005509j)  (0.008295+0.014842j)  (-0.044540-0.025178j)  (-0.014789+0.019016j)  (0.002518+0.014225j)  (-0.965966-0.026606j)  (0.010521+0.005895j)  (0.002101+0.017081j)  (0.013292+0.042271j)  (0.027681-0.009670j)  (0.020578+0.015528j)  (-0.001791-0.019631j)  (0.019714-0.011214j)  (0.049594-0.105286j)  (0.011586+0.002869j)  (0.032985-0.103320j)  (0.008174+0.002072j)  (-0.033578+0.033921j)  (0.029929-0.123161j)  (0.008159-0.002169j)  (-0.002077+0.038449j)  (-0.035102-0.035549j)  (-0.015874-0.024297j)  (-0.009794-0.005762j)  (0.015298+0.033269j)  (0.005158+0.016145j)  (0.008478+0.024950j)  (0.041706-0.061147j)  (-0.002071+0.001235j)  (-0.005303-0.012261j)  (0.018342-0.006384j)
 (-0.013751-0.020563j)  (-0.046246-0.105343j)  (-0.004327-0.015002j)  (0.025271-0.013854j)  (-0.001277+0.016808j)  (0.007853-0.031937j)  (-0.001962+0.002804j)  (-0.947922+0.043457j)  (-0.004815+0.021509j)  (-0.038077+0.006529j)  (-0.033137+0.109588j)  (-0.006634-0.008201j)  (0.008133-0.041508j)  (-0.030228-0.065982j)  (-0.013184+0.048952j)  (0.018799-0.019313j)  (0.001895-0.028762j)  (-0.008947+0.001222j)  (-0.040837+0.011080j)  (-0.013113-0.077253j)  (-0.005236+0.006071j)  (-0.030136-0.085327j)  (0.012094-0.004072j)  (-0.060852+0.033157j)  (-0.021396+0.022335j)  (0.042385+0.059070j)  (0.017096+0.001358j)  (0.037311-0.103163j)  (0.033044-0.056300j)  (-0.034383+0.072905j)  (-0.040121-0.066104j)  (0.018282+0.000662j)
 (0.004753-0.012363j)  (0.012791-0.014842j)  (-0.008848+0.005015j)  (-0.020942+0.013434j)  (0.015801+0.009196j)  (0.003752-0.002381j)  (-0.003119+0.005774j)  (-0.009913+0.014813j)  (-0.980911-0.009399j)  (-0.017136-0.052684j)  (0.013659-0.008996j)  (-0.003567+0.011000j)  (-0.012517+0.044600j)  (-0.004685-0.004885j)  (-0.012163-0.024410j)  (0.017834-0.005852j)  (-0.008766-0.006928j)  (-0.008534-0.027306j)  (0.006887+0.006962j)  (-0.015172-0.012297j)  (0.021264+0.030005j)  (0.014463-0.016551j)  (-0.024531-0.006056j)  (0.007566-0.004146j)  (0.010755+0.026365j)  (-0.074469-0.069010j)  (0.017022-0.060683j)  (-0.035670+0.046354j)  (-0.019290-0.042761j)  (0.026198+0.013109j)  (-0.024122+0.051672j)  (0.005544-0.012137j)
 (-0.017324+0.021616j)  (-0.007932+0.098940j)  (-0.023776+0.023200j)  (0.028162-0.117846j)  (0.041455+0.069280j)  (-0.018649-0.000491j)  (-0.022647+0.065461j)  (0.016349-0.017796j)  (0.011049-0.050892j)  (-0.946574+0.015364j)  (-0.010131+0.019159j)  (0.055365+0.060159j)  (0.007026+0.034492j)  (-0.012297+0.019679j)  (0.019929-0.016658j)  (-0.043568-0.054817j)  (-0.004086+0.017952j)  (-0.042277+0.087849j)  (0.007219+0.025830j)  (0.021693+0.038396j)  (-0.050131+0.017318j)  (-0.065526-0.043177j)  (0.005844-0.074749j)  (0.041957-0.037198j)  (-0.003966-0.008134j)  (-0.004362-0.006515j)  (-0.013715-0.008490j)  (-0.045876+0.015058j)  (-0.018548+0.117406j)  (0.013583+0.015015j)  (-0.015875-0.010175j)  (-0.003089-0.002328j)
 (0.001900-0.005349j)  (-0.002651+0.000813j)  (-0.029635-0.000010j)  (-0.023049-0.003409j)  (0.021570-0.026308j)  (-0.012354-0.015976j)  (-0.014619-0.013824j)  (0.032633+0.097291j)  (-0.005687-0.004561j)  (-0.007635+0.009827j)  (-0.971748+0.002205j)  (-0.032615-0.008344j)  (-0.039687+0.020255j)  (-0.006864-0.000484j)  (-0.014085+0.001642j)  (0.010158+0.064162j)  (-0.010242-0.025947j)  (0.018385+0.010759j)  (-0.001793-0.018973j)  (-0.009986-0.001645j)  (0.022176-0.085738j)  (-0.017344+0.091484j)  (-0.025243-0.071308j)  (-0.017960-0.004153j)  (0.003697+0.006094j)  (-0.001287-0.039398j)  (-0.026462-0.014602j)  (0.007914+0.006302j)  (0.019151-0.070667j)  (0.031495+0.015718j)  (-0.013426+0.004416j)  (0.014818-0.005683j)
