 (-0.956768+0.004630j)  (0.003072-0.011733j)  (-0.020152-0.011258j)  (-0.027974+0.006304j)  (0.003213-0.006667j)  (0.026925+0.011248j)  (0.020670-0.045949j)  (-0.011408-0.010656j)  (0.026149+0.005283j)  (-0.008220+0.000174j)  (-0.024583+0.010548j)  (0.022112+0.025055j)  (0.014736+0.097875j)  (0.010290+0.014341j)  (-0.003263+0.002886j)  (0.041711+0.042719j)  (-0.008949-0.012244j)  (-0.027545-0.062829j)  (0.010809+0.001439j)  (0.001709-0.008752j)  (-0.003751+0.004671j)  (0.000317-0.012771j)  (0.003645+0.000606j)  (-0.008243-0.015618j)  (-0.002712+0.002824j)  (-0.014000+0.001858j)  (-0.059701-0.034900j)  (0.005137+0.009276j)  (0.004763+0.006977j)  (-0.000254-0.000153j)  (0.002903+0.024972j)  (0.004164+0.026445j)  (-0.005103-0.012372j)  (0.004230-0.005258j)  (0.000110-0.005211j)  (-0.004035-0.006303j)  (0.017940-0.025602j)  (-0.029469+0.084287j)  (-0.017383-0.000729j)  (0.002354-0.050131j)  (-0.020054+0.007406j)  (-0.004062+0.002243j)  (-0.000559+0.008615j)  (0.005452+0.000382j)  (0.016497+0.010666j)  (-0.000500-0.083034j)  (-0.035031-0.021811j)  (-0.004418-0.007012j)  (-0.026169+0.018138j)  (-0.000757-0.003444j)  (0.024365-0.006079j)  (0.003557-0.085632j)  (0.001298+0.002924j)  (0.003554-0.056507j)  (-0.023834+0.087377j)  (-0.013543+0.004992j)  (0.002640+0.043941j)  (-0.017073+0.009008j)  (0.010519-0.001975j)  (0.009423+0.003635j)  (-0.007691-0.065696j)  (-0.024188-0.001040j)  (-0.018605-0.002034j)  (-0.025986-0.005749j)
 (0.003269-0.006126j)  (-0.963698+0.004690j)  (0.028610-0.011414j)  (0.007704+0.003779j)  (0.015116-0.005928j)  (0.030199-0.027101j)  (-0.025685-0.002316j)  (0.031154-0.020076j)  (-0.002115+0.005560j)  (0.024554+0.002119j)  (0.003259-0.005794j)  (0.017565-0.008567j)  (-0.011605+0.008084j)  (-0.011727+0.007446j)  (-0.010056+0.009724j)  (0.008922+0.005717j)  (0.002186-0.006435j)  (0.009112+0.012396j)  (0.010634+0.011987j)  (-0.002603+0.010578j)  (-0.017846-0.030716j)  (0.008018-0.002420j)  (-0.012332-0.014255j)  (0.011040-0.004392j)  (-0.003135+0.002721j)  (-0.009540-0.000728j)  (0.002367-0.018420j)  (0.022176-0.064592j)  (0.018090+0.004302j)  (0.014662+0.010330j)  (0.000527+0.104911j)  (-0.031164+0.000213j)  (-0.007874+0.014216j)  (0.004645-0.050197j)  (-0.002406-0.021883j)  (-0.013700+0.090947j)  (0.015119+0.006001j)  (0.001724-0.007114j)  (-0.002786+0.000283j)  (0.011521-0.002981j)  (0.010025-0.015394j)  (0.005997+0.006367j)  (0.001289-0.002929j)  (0.019031+0.003978j)  (0.005264+0.002700j)  (0.040475-0.043556j)  (0.009489+0.015183j)  (0.010941-0.001203j)  (0.006164+0.021094j)  (-0.008666+0.088628j)  (-0.016293+0.015259j)  (-0.003429+0.010154j)  (0.010381-0.060525j)  (-0.003704-0.004395j)  (0.012736-0.006677j)  (0.008322+0.015591j)  (-0.007421+0.097802j)  (0.001496+0.008565j)  (-0.002934+0.006016j)  (0.011820-0.004062j)  (0.010205+0.001511j)  (-0.004371+0.019367j)  (0.000644+0.014461j)  (0.018636-0.053760j)
 (0.027814-0.018127j)  (-0.024961-0.011488j)  (-0.959273+0.005152j)  (-0.015190+0.005114j)  (0.025957-0.013862j)  (0.008296-0.013192j)  (-0.005567+0.008125j)  (-0.002947-0.003473j)  (0.009777+0.004518j)  (0.011628+0.006640j)  (0.038130+0.006574j)  (0.054915+0.056392j)  (0.017087+0.004117j)  (0.006195+0.023313j)  (0.002355+0.007770j)  (0.005524+0.021215j)  (0.004355-0.119207j)  (0.013722+0.002434j)  (0.018991-0.002430j)  (-0.012274+0.003388j)  (-0.012134+0.013827j)  (-0.016694+0.010702j)  (0.004512-0.005568j)  (-0.005449-0.008738j)  (-0.009465+0.048106j)  (-0.005950-0.002267j)  (-0.010950+0.121114j)  (0.014905+0.020321j)  (0.012661-0.017011j)  (-0.005350+0.027042j)  (0.005743+0.031493j)  (-0.014454+0.001067j)  (-0.001223-0.003614j)  (-0.019675+0.013356j)  (-0.013691-0.001222j)  (-0.002460-0.007015j)  (0.003074+0.004930j)  (-0.021987-0.011846j)  (-0.007293-0.007434j)  (0.005611-0.008282j)  (-0.026278+0.035958j)  (0.011373-0.008565j)  (-0.006959-0.015786j)  (0.016437-0.000339j)  (-0.014178-0.011606j)  (-0.006668+0.009165j)  (0.034734-0.049970j)  (0.013213-0.014697j)  (-0.010981+0.011547j)  (-0.014323+0.015496j)  (0.017416+0.020196j)  (-0.003802+0.010267j)  (0.006767-0.001188j)  (0.021318+0.001934j)  (0.007705+0.057361j)  (-0.035546-0.021121j)  (-0.007556+0.001533j)  (0.024792+0.091833j)  (0.013571-0.051870j)  (0.016364-0.010312j)  (0.010606+0.023395j)  (0.000399+0.012895j)  (0.026360+0.001510j)  (-0.029399-0.002650j)
 (0.011582+0.009854j)  (-0.002959+0.002926j)  (0.006890+0.009455j)  (-0.956932-0.001338j)  (0.035139+0.000758j)  (-0.012153+0.004551j)  (0.022192+0.006468j)  (0.050897-0.006023j)  (-0.002440+0.052592j)  (0.007867+0.009652j)  (-0.012322+0.070739j)  (0.002185+0.000056j)  (-0.028069+0.002768j)  (-0.014350-0.074877j)  (0.009166+0.007115j)  (0.023508+0.002814j)  (0.012344+0.006650j)  (-0.003658+0.003435j)  (-0.001184-0.015558j)  (0.015428-0.002988j)  (0.002882+0.035447j)  (-0.005880-0.011044j)  (-0.014781+0.015142j)  (-0.015451+0.001769j)  (-0.004451-0.009236j)  (0.000561+0.002223j)  (0.008730-0.003021j)  (-0.007948-0.002428j)  (-0.032665+0.074693j)  (0.021882-0.014581j)  (-0.013157-0.024231j)  (-0.019428+0.038735j)  (-0.001536-0.046167j)  (-0.019668-0.014252j)  (-0.016232+0.009678j)  (0.016107-0.000178j)  (-0.005941+0.067406j)  (-0.009811-0.005848j)  (-0.012264-0.087041j)  (-0.010962-0.019420j)  (0.003356-0.003746j)  (0.021484+0.015823j)  (-0.009612+0.061207j)  (0.009383+0.009034j)  (-0.007171-0.004777j)  (0.006208-0.006775j)  (0.026919-0.017084j)  (0.001287+0.018228j)  (0.000672-0.012082j)  (-0.008551+0.022149j)  (-0.006748-0.037760j)  (-0.018815+0.049441j)  (-0.010457-0.035286j)  (0.024467+0.013266j)  (0.059802-0.075650j)  (0.000546-0.047997j)  (0.025589-0.006723j)  (0.007348+0.001782j)  (-0.026053+0.026763j)  (-0.000542+0.056176j)  (-0.032735+0.017453j)  (0.010044+0.008313j)  (-0.006359+0.018088j)  (0.036239-0.033155j)
 (-0.008327-0.006652j)  (-0.012375-0.000289j)  (-0.022918-0.009484j)  (-0.017118+0.008795j)  (-0.942812-0.026377j)  (0.049055-0.019209j)  (-0.022852-0.010187j)  (0.017948+0.022846j)  (0.030593+0.003721j)  (0.005937+0.010642j)  (-0.003234-0.001398j)  (0.007781+0.061980j)  (-0.020636-0.097902j)  (-0.027505-0.093063j)  (-0.015828-0.003154j)  (-0.008493+0.009904j)  (0.002225-0.013576j)  (-0.001765+0.000149j)  (-0.030366+0.003074j)  (-0.003366+0.010369j)  (0.016162-0.060580j)  (0.002504-0.010042j)  (-0.017183+0.013839j)  (0.006467-0.001010j)  (0.007334-0.000646j)  (-0.012207+0.002693j)  (0.001059+0.000176j)  (-0.008334-0.010390j)  (-0.013028+0.011181j)  (0.013158+0.000139j)  (-0.006306+0.015046j)  (0.007107+0.046707j)  (-0.003399-0.006775j)  (0.016083-0.005580j)  (-0.008399-0.000926j)  (-0.007666-0.000922j)  (-0.004296+0.103854j)  (0.002426-0.004114j)  (-0.017219-0.003297j)  (0.012236+0.002282j)  (-0.013617+0.087099j)  (0.004997+0.013438j)  (-0.031108+0.002919j)  (0.019996-0.001689j)  (-0.007852+0.096102j)  (0.012814-0.017936j)  (0.005380-0.002667j)  (0.044084+0.070476j)  (0.004311+0.000727j)  (0.038323-0.073383j)  (-0.018699-0.001260j)  (-0.018181+0.002079j)  (-0.001575-0.023402j)  (-0.039588+0.107083j)  (-0.008433+0.044123j)  (0.016128+0.005752j)  (0.007611+0.003262j)  (0.009620+0.007260j)  (0.004609+0.014687j)  (-0.020857+0.056618j)  (-0.003978-0.065684j)  (0.010532+0.016815j)  (0.012915+0.019084j)  (-0.001458-0.014812j)
 (-0.017123+0.021458j)  (-0.026860-0.023789j)  (-0.018547-0.012430j)  (0.000676+0.010859j)  (-0.033585-0.029530j)  (-0.937065-0.010068j)  (0.005287+0.000155j)  (-0.010121-0.001782j)  (0.023316-0.004936j)  (0.010950-0.010625j)  (0.008728-0.002999j)  (-0.037913-0.005146j)  (0.011500+0.008390j)  (0.008576-0.014137j)  (-0.010046+0.005337j)  (-0.006172-0.002822j)  (-0.017953+0.003459j)  (0.006398-0.001861j)  (-0.000375-0.013364j)  (-0.005380-0.013470j)  (0.007803-0.018329j)  (0.002120+0.002666j)  (-0.010702+0.013764j)  (-0.000021-0.006491j)  (0.006597-0.057055j)  (0.035552+0.014971j)  (0.022481-0.068856j)  (-0.024894+0.009119j)  (0.007950-0.026052j)  (-0.022403+0.005653j)  (-0.043006+0.135722j)  (-0.017858-0.004813j)  (-0.017331+0.006611j)  (0.021875-0.000127j)  (-0.007084+0.009536j)  (0.049604+0.002925j)  (0.006282-0.007359j)  (0.011351-0.002891j)  (0.002934+0.003424j)  (0.013910-0.013026j)  (0.013125+0.015873j)  (0.018814-0.000966j)  (-0.002491-0.008919j)  (-0.008359-0.009228j)  (-0.008563+0.010675j)  (-0.004400-0.057572j)  (0.027163+0.005493j)  (-0.011904+0.055958j)  (-0.003778-0.015721j)  (-0.033456-0.000455j)  (0.013805+0.000435j)  (0.010377-0.028259j)  (0.013970-0.007340j)  (0.007398+0.090262j)  (0.016984+0.051619j)  (0.010288-0.107535j)  (-0.029293-0.034867j)  (0.017417-0.078137j)  (0.028068-0.072479j)  (0.003930-0.001431j)  (-0.012978-0.019987j)  (-0.020295-0.102847j)  (-0.023824-0.116117j)  (-0.003958+0.039027j)
 (-0.017996-0.053383j)  (0.013376-0.000643j)  (-0.002854+0.000532j)  (-0.021620+0.005651j)  (0.015563-0.003995j)  (0.002279+0.007459j)  (-0.960109-0.017207j)  (-0.001464-0.000014j)  (0.019190-0.022295j)  (-0.017258+0.007376j)  (0.016848-0.008161j)  (0.018552-0.053809j)  (0.043777-0.088316j)  (0.002345-0.002030j)  (0.017788-0.019085j)  (-0.022589+0.013251j)  (0.007999-0.000628j)  (-0.000192-0.001492j)  (0.004979-0.020229j)  (-0.012910-0.001126j)  (0.005436-0.007524j)  (0.000480-0.007437j)  (-0.005207+0.001057j)  (0.009021+0.005539j)  (0.004597+0.001400j)  (0.003644-0.015664j)  (-0.012141-0.001716j)  (-0.005057+0.041764j)  (0.012957+0.021601j)  (0.009182-0.007290j)  (-0.012053-0.033111j)  (-0.001356-0.004440j)  (-0.004347+0.002069j)  (-0.009261-0.004099j)  (-0.017520-0.025375j)  (0.023305-0.007155j)  (0.005434-0.000956j)  (0.002396+0.049219j)  (-0.000749+0.006294j)  (0.010961+0.008815j)  (0.015226-0.008481j)  (-0.014101-0.005724j)  (0.036725+0.079236j)  (-0.005346-0.004745j)  (-0.019391-0.064179j)  (0.024105-0.068658j)  (-0.006558+0.060412j)  (-0.011212-0.008001j)  (-0.012867-0.064503j)  (-0.029259-0.044299j)  (0.069680-0.043015j)  (-0.002033-0.003956j)  (-0.009583-0.062126j)  (-0.007439-0.037881j)  (-0.008595-0.006900j)  (-0.020006-0.010948j)  (0.011057-0.019147j)  (0.006178-0.007496j)  (-0.006716-0.003809j)  (0.004546-0.015987j)  (0.016377-0.002600j)  (-0.020273-0.012159j)  (-0.003005-0.041071j)  (0.008859+0.053779j)
 (-0.001593+0.003601j)  (-0.016247-0.018737j)  (0.000664-0.002724j)  (-0.028030-0.011427j)  (-0.022760+0.018315j)  (0.012774+0.001383j)  (-0.007949+0.009396j)  (-0.944743-0.040719j)  (-0.019001-0.011887j)  (0.009638-0.071089j)  (0.020228+0.103927j)  (-0.037505-0.057005j)  (-0.003086+0.020698j)  (-0.043239+0.003406j)  (0.012967-0.033112j)  (-0.016888-0.017470j)  (-0.002415+0.004979j)  (-0.018685+0.003901j)  (0.006302-0.007342j)  (-0.005523-0.010238j)  (-0.030138+0.028989j)  (0.002769+0.008212j)  (0.001015+0.007143j)  (-0.005097-0.003832j)  (-0.002272-0.015074j)  (0.023939-0.043120j)  (0.009317-0.012846j)  (-0.002754+0.002956j)  (-0.007248+0.014591j)  (0.002825+0.083907j)  (0.009654-0.006052j)  (-0.019072-0.004407j)  (-0.020585+0.009713j)  (-0.015363-0.007611j)  (-0.017090-0.002985j)  (-0.010602+0.060543j)  (-0.003412+0.037857j)  (-0.013996-0.010298j)  (-0.002434-0.089721j)  (-0.009052+0.002539j)  (0.006107+0.028286j)  (-0.003701-0.006946j)  (-0.002227-0.005176j)  (0.002052-0.068703j)  (-0.007541+0.010220j)  (0.040384+0.081976j)  (0.017981+0.023793j)  (0.024985-0.049933j)  (-0.004636+0.001219j)  (0.002465+0.049230j)  (-0.000945+0.025570j)  (-0.001754-0.004242j)  (-0.015591-0.043567j)  (0.006046-0.008654j)  (0.005067-0.034258j)  (0.010462+0.017710j)  (-0.036767-0.003346j)  (-0.001533+0.002938j)  (-0.008425-0.056811j)  (-0.005842+0.082195j)  (0.037448-0.039353j)  (0.029273-0.069443j)  (0.011297-0.010093j)  (0.013095-0.060284j)
 (-0.005253+0.004452j)  (-0.002405-0.000752j)  (-0.008628+0.004572j)  (-0.004074+0.049120j)  (-0.011298-0.005288j)  (-0.003635-0.001005j)  (-0.017476-0.023831j)  (0.011428-0.011440j)  (-0.966056-0.003138j)  (0.009583-0.007213j)  (0.020310+0.016376j)  (-0.013775+0.005978j)  (0.005737+0.004745j)  (-0.006082+0.006326j)  (0.010016-0.001010j)  (-0.011186+0.009873j)  (0.010459-0.010673j)  (-0.017320-0.091774j)  (-0.011942-0.088288j)  (-0.002324-0.006874j)  (-0.002102-0.004756j)  (0.007879-0.000952j)  (-0.004445+0.005350j)  (-0.015266-0.019552j)  (0.011413-0.018142j)  (0.009005+0.006898j)  (-0.002895-0.009558j)  (-0.001771+0.006372j)  (0.004805-0.015178j)  (-0.011372-0.079524j)  (0.014579+0.024986j)  (0.018234+0.010279j)  (-0.000875-0.003346j)  (0.007041-0.013573j)  (-0.005702-0.009882j)  (0.006526-0.008668j)  (0.028603-0.009612j)  (-0.021886+0.001722j)  (-0.019567+0.001713j)  (0.007214-0.009615j)  (-0.039814+0.059650j)  (-0.001260-0.005674j)  (0.005491+0.009256j)  (0.003161+0.002687j)  (0.008025+0.004475j)  (-0.012610-0.025277j)  (-0.007263+0.003111j)  (-0.017543+0.005067j)  (-0.005520+0.007195j)  (-0.003607-0.048857j)  (-0.011992+0.029018j)  (-0.002856+0.059669j)  (-0.011457+0.001287j)  (0.013974+0.011506j)  (0.027612+0.078011j)  (-0.006480-0.007641j)  (-0.012711+0.006212j)  (-0.004643-0.054431j)  (0.039723+0.006476j)  (-0.001769-0.009004j)  (0.022657-0.074410j)  (0.003632+0.005852j)  (0.019933+0.009148j)  (0.000700-0.003995j)
 (0.010398-0.001301j)  (-0.018529-0.000427j)  (-0.001681+0.006151j)  (-0.000362+0.004973j)  (-0.002489-0.003740j)  (-0.008926-0.012030j)  (0.014484+0.013266j)  (0.003410-0.072497j)  (-0.005010-0.009859j)  (-0.977741+0.005725j)  (-0.017444+0.014201j)  (0.007190-0.012844j)  (-0.008323+0.000489j)  (-0.007288-0.007881j)  (-0.007252+0.012964j)  (0.003467-0.005049j)  (0.004685+0.007916j)  (0.009177+0.009548j)  (-0.009513-0.048862j)  (0.006658-0.012534j)  (0.011834-0.001980j)  (-0.001325-0.004880j)  (0.000402+0.006289j)  (0.002624-0.005597j)  (-0.003308+0.004161j)  (0.024060-0.015301j)  (-0.019683+0.046920j)  (-0.014150+0.008306j)  (-0.013537+0.003705j)  (-0.011024+0.004566j)  (-0.002745+0.017503j)  (0.004841-0.001056j)  (-0.008906-0.010303j)  (0.001816-0.050153j)  (0.012551+0.000329j)  (-0.020479+0.060318j)  (0.006454+0.013385j)  (0.002993-0.001109j)  (-0.006167+0.002064j)  (-0.004630+0.003154j)  (-0.004614+0.004830j)  (0.006887+0.005128j)  (0.016531-0.001446j)  (0.015069-0.012652j)  (0.006709-0.008185j)  (-0.008068-0.038530j)  (-0.005114-0.063886j)  (0.014182-0.022856j)  (0.014549+0.058654j)  (-0.005503-0.041642j)  (0.036965+0.018090j)  (0.014452+0.010946j)  (-0.004404+0.002523j)  (0.002442+0.007220j)  (0.009311-0.002041j)  (0.013321+0.009048j)  (-0.011422-0.010660j)  (0.001826+0.007891j)  (-0.025346-0.025878j)  (0.024528+0.059680j)  (0.005150+0.015251j)  (-0.004213-0.005856j)  (-0.000283-0.011965j)  (0.005510-0.008967j)
 (0.009527+0.013784j)  (-0.000184-0.003595j)  (-0.030316+0.005976j)  (0.011526+0.075672j)  (0.010673-0.005559j)  (-0.002481-0.008407j)  (-0.013029-0.008887j)  (-0.019781+0.091662j)  (-0.030663+0.011573j)  (0.016510+0.011314j)  (-0.964019-0.019457j)  (-0.007819-0.005697j)  (0.002295-0.012418j)  (-0.032901-0.066069j)  (-0.018483+0.005883j)  (-0.024876-0.000123j)  (0.002716-0.055808j)  (0.012058+0.063644j)  (-0.014690+0.047258j)  (0.011706+0.007635j)  (-0.005914-0.001046j)  (-0.000104-0.069691j)  (-0.003337+0.003038j)  (-0.003784-0.009858j)  (-0.033920+0.002948j)  (-0.012143-0.016540j)  (0.012465+0.004603j)  (0.000246+0.043163j)  (-0.009507+0.004896j)  (0.014952+0.012336j)  (0.017607+0.008673j)  (0.004789+0.006380j)  (0.001052+0.012264j)  (-0.003174-0.056738j)  (-0.021992+0.040176j)  (-0.003112-0.003428j)  (-0.015810+0.000892j)  (0.018192-0.044060j)  (-0.020551+0.025640j)  (0.005869+0.010380j)  (0.002546-0.005664j)  (0.016623-0.000893j)  (-0.002900+0.002219j)  (-0.020306-0.008103j)  (-0.004143-0.065341j)  (0.038968-0.008763j)  (-0.000319+0.001845j)  (0.006075-0.009945j)  (0.006211-0.005338j)  (0.005677+0.015525j)  (-0.008880+0.011779j)  (0.043212+0.013814j)  (-0.017846-0.002999j)  (0.001357+0.020354j)  (-0.009962+0.000766j)  (0.003825+0.027904j)  (-0.009579+0.008207j)  (0.011337-0.002966j)  (-0.036215-0.052303j)  (0.013450+0.001476j)  (0.002409-0.002846j)  (0.004571-0.021652j)  (0.010396-0.015558j)  (-0.015142+0.016287j)
